fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.6507936507936508,0.7884615384615384,0.6507936507936508,1.0,0.3942307692307692,0.0
1,1521,63,0.5079365079365079,0.6736842105263158,0.5079365079365079,1.0,0.3368421052631579,0.0
2,1542,63,0.5396825396825397,0.7010309278350515,0.5396825396825397,1.0,0.35051546391752575,0.0
3,1563,63,0.4126984126984127,0.5842696629213483,0.4126984126984127,1.0,0.29213483146067415,0.0
4,1584,63,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.0
5,1605,63,0.7142857142857143,0.8333333333333334,0.7142857142857143,1.0,0.4166666666666667,0.0
6,1626,63,0.7619047619047619,0.8648648648648649,0.7619047619047619,1.0,0.43243243243243246,0.0
7,1647,63,0.746031746031746,0.8545454545454545,0.746031746031746,1.0,0.42727272727272725,0.0
8,1668,63,0.7619047619047619,0.8648648648648649,0.7619047619047619,1.0,0.43243243243243246,0.0
9,1689,63,0.6349206349206349,0.7766990291262136,0.6349206349206349,1.0,0.3883495145631068,0.0
10,1710,63,0.38095238095238093,0.5517241379310345,0.38095238095238093,1.0,0.27586206896551724,0.0
11,1731,63,0.3968253968253968,0.5681818181818182,0.3968253968253968,1.0,0.2840909090909091,0.0
12,1752,63,0.4126984126984127,0.5842696629213483,0.4126984126984127,1.0,0.29213483146067415,0.0
13,1773,63,0.36507936507936506,0.5348837209302325,0.36507936507936506,1.0,0.26744186046511625,0.0
14,1794,63,0.1111111111111111,0.2,0.1111111111111111,1.0,0.1,0.0
15,1815,63,0.25396825396825395,0.4050632911392405,0.25396825396825395,1.0,0.20253164556962025,0.0
16,1836,63,0.5396825396825397,0.7010309278350515,0.5396825396825397,1.0,0.35051546391752575,0.0
17,1857,63,0.8571428571428571,0.9230769230769231,0.8571428571428571,1.0,0.46153846153846156,0.0
18,1878,63,0.9206349206349206,0.9586776859504132,0.9206349206349206,1.0,0.4793388429752066,0.0
19,1899,63,0.9682539682539683,0.9838709677419355,0.9682539682539683,1.0,0.49193548387096775,0.0
20,1920,63,0.8412698412698413,0.9137931034482759,0.8412698412698413,1.0,0.45689655172413796,0.0
21,1941,63,0.7777777777777778,0.875,0.7777777777777778,1.0,0.4375,0.0
22,1962,63,0.6984126984126984,0.822429906542056,0.6984126984126984,1.0,0.411214953271028,0.0
23,1983,63,0.8253968253968254,0.9043478260869565,0.8253968253968254,1.0,0.45217391304347826,0.0
24,2004,63,0.8412698412698413,0.9137931034482759,0.8412698412698413,1.0,0.45689655172413796,0.0
25,2025,63,0.7619047619047619,0.8648648648648649,0.7619047619047619,1.0,0.43243243243243246,0.0
26,2046,63,0.49206349206349204,0.6595744680851063,0.49206349206349204,1.0,0.32978723404255317,0.0
27,2067,63,0.5714285714285714,0.7272727272727273,0.5714285714285714,1.0,0.36363636363636365,0.0
28,2088,63,0.4603174603174603,0.6304347826086957,0.4603174603174603,1.0,0.31521739130434784,0.0
29,2109,63,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.3225806451612903,0.0
30,2130,63,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0,0.3076923076923077,0.0
31,2151,63,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.3225806451612903,0.0
32,2172,63,0.6349206349206349,0.7766990291262136,0.6349206349206349,1.0,0.3883495145631068,0.0
33,2193,63,0.6349206349206349,0.7766990291262136,0.6349206349206349,1.0,0.3883495145631068,0.0
34,2214,63,0.7619047619047619,0.8648648648648649,0.7619047619047619,1.0,0.43243243243243246,0.0
35,2235,63,0.8571428571428571,0.9230769230769231,0.8571428571428571,1.0,0.46153846153846156,0.0
36,2256,63,0.8571428571428571,0.9230769230769231,0.8571428571428571,1.0,0.46153846153846156,0.0
37,2277,63,0.9047619047619048,0.95,0.9047619047619048,1.0,0.475,0.0
38,2298,63,0.7619047619047619,0.8648648648648649,0.7619047619047619,1.0,0.43243243243243246,0.0
39,2319,63,0.6507936507936508,0.7884615384615384,0.6507936507936508,1.0,0.3942307692307692,0.0
40,2340,63,0.38095238095238093,0.5517241379310345,0.38095238095238093,1.0,0.27586206896551724,0.0
41,2361,63,0.2857142857142857,0.4444444444444444,0.2857142857142857,1.0,0.2222222222222222,0.0
42,2382,63,0.19047619047619047,0.32,0.19047619047619047,1.0,0.16,0.0
43,2403,63,0.49206349206349204,0.6595744680851063,0.49206349206349204,1.0,0.32978723404255317,0.0
44,2424,63,0.7301587301587301,0.8440366972477065,0.7301587301587301,1.0,0.42201834862385323,0.0
45,2445,63,0.7936507936507936,0.8849557522123894,0.7936507936507936,1.0,0.4424778761061947,0.0
46,2466,63,0.6031746031746031,0.7524752475247525,0.6031746031746031,1.0,0.37623762376237624,0.0
47,2487,63,0.5714285714285714,0.7272727272727273,0.5714285714285714,1.0,0.36363636363636365,0.0
48,2508,63,0.5873015873015873,0.13333333333333333,1.0,0.07142857142857142,0.43124999999999997,0.07874015748031493
49,2529,63,0.6031746031746031,0.24242424242424243,0.8,0.14285714285714285,0.4868035190615836,0.1245136186770428
50,2550,63,0.6507936507936508,0.42105263157894735,0.4444444444444444,0.4,0.5855263157894737,0.17204301075268824
51,2571,63,0.6507936507936508,0.5925925925925926,0.9411764705882353,0.43243243243243246,0.6435185185185185,0.35354477611940294
52,2592,63,0.5873015873015873,0.717391304347826,0.5892857142857143,0.9166666666666666,0.4763427109974424,0.0714285714285714
53,2613,63,0.3968253968253968,0.5681818181818182,0.3968253968253968,1.0,0.2840909090909091,0.0
