fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.627906976744186,0.7714285714285715,0.6428571428571429,0.9642857142857143,0.38571428571428573,-0.0455927051671734
1,1521,63,0.6744186046511628,0.7586206896551724,0.6285714285714286,0.9565217391304348,0.6293103448275862,0.3190045248868779
2,1542,63,0.46511627906976744,0.5490196078431373,0.4,0.875,0.4459383753501401,0.07828518173345778
3,1563,63,0.5348837209302325,0.6153846153846154,0.5333333333333333,0.7272727272727273,0.5135746606334841,0.06113537117903922
4,1584,63,0.5348837209302325,0.6,0.75,0.5,0.5222222222222221,0.09473684210526312
5,1605,63,0.6046511627906976,0.7536231884057971,0.7878787878787878,0.7222222222222222,0.37681159420289856,-0.2368866328257191
6,1626,63,0.5813953488372093,0.7272727272727273,0.631578947368421,0.8571428571428571,0.41363636363636364,-0.09014084507042242
7,1647,63,0.7441860465116279,0.8253968253968254,0.8666666666666667,0.7878787878787878,0.6735679779158039,0.35116598079561046
8,1668,63,0.813953488372093,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6587301587301587,0.31746031746031744
9,1689,63,0.8372093023255814,0.8292682926829268,0.8947368421052632,0.7727272727272727,0.8368563685636856,0.6752966558791802
10,1710,63,0.3488372093023256,0.36363636363636365,0.2222222222222222,1.0,0.3484848484848485,0.0851063829787233
11,1731,63,0.13953488372093023,0.17777777777777778,0.16,0.2,0.13766937669376694,-0.7016042780748661
12,1752,63,0.18604651162790697,0.3137254901960784,0.2962962962962963,0.3333333333333333,0.1568627450980392,-0.6778149386845038
13,1773,63,0.3023255813953488,0.2857142857142857,0.17142857142857143,0.8571428571428571,0.30194805194805197,0.019756838905774954
14,1794,63,0.23255813953488372,0.05714285714285714,0.029411764705882353,1.0,0.2050420168067227,0.012526096033403045
15,1815,63,0.5581395348837209,0.6274509803921569,0.45714285714285713,1.0,0.542296918767507,0.23858341099720426
16,1836,63,0.5813953488372093,0.7272727272727273,0.75,0.7058823529411765,0.41363636363636364,-0.16918429003021163
17,1857,63,0.9302325581395349,0.963855421686747,0.9302325581395349,1.0,0.4819277108433735,0.0
18,1878,63,0.9534883720930233,0.9761904761904762,0.9534883720930233,1.0,0.4880952380952381,0.0
19,1899,63,0.6744186046511628,0.8,0.9655172413793104,0.6829268292682927,0.4625,0.04746835443037978
20,1920,63,0.6511627906976745,0.782608695652174,0.7714285714285715,0.7941176470588235,0.4501278772378517,-0.0988074957410563
21,1941,63,0.6511627906976745,0.7619047619047619,0.7058823529411765,0.8275862068965517,0.5548654244306418,0.12483039348710989
22,1962,63,0.6744186046511628,0.8,0.7368421052631579,0.875,0.4625,-0.04152249134948094
23,1983,63,0.5581395348837209,0.7164179104477612,0.8,0.6486486486486487,0.3582089552238806,-0.2360060514372162
24,2004,63,0.7209302325581395,0.8378378378378378,0.8611111111111112,0.8157894736842105,0.4189189189189189,-0.15695067264573992
25,2025,63,0.6511627906976745,0.7887323943661971,0.6511627906976745,1.0,0.39436619718309857,0.0
26,2046,63,0.5116279069767442,0.5714285714285714,0.4117647058823529,0.9333333333333333,0.5019305019305019,0.1692732290708372
27,2067,63,0.4883720930232558,0.26666666666666666,1.0,0.15384615384615385,0.4369047619047619,0.1256931608133086
28,2088,63,0.4418604651162791,0.6129032258064516,0.5277777777777778,0.7307692307692307,0.3064516129032258,-0.2997481108312341
29,2109,63,0.23255813953488372,0.37735849056603776,0.23255813953488372,1.0,0.18867924528301888,0.0
30,2130,63,0.5116279069767442,0.6181818181818182,0.5483870967741935,0.7083333333333334,0.4703812316715542,-0.029646522234891837
31,2151,63,0.5813953488372093,0.6896551724137931,0.625,0.7692307692307693,0.5233990147783252,0.06746987951807226
32,2172,63,0.4883720930232558,0.65625,0.4883720930232558,1.0,0.328125,0.0
33,2193,63,0.5581395348837209,0.7164179104477612,0.75,0.6857142857142857,0.3582089552238806,-0.2745709828393137
34,2214,63,0.32558139534883723,0.49122807017543857,0.6086956521739131,0.4117647058823529,0.24561403508771928,-0.4058624577226606
35,2235,63,0.5348837209302325,0.6666666666666666,0.8,0.5714285714285714,0.4487179487179487,-0.03614457831325302
36,2256,63,0.9069767441860465,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.47560975609756095,-0.04878048780487809
37,2277,63,0.8604651162790697,0.925,0.8604651162790697,1.0,0.4625,0.0
38,2298,63,0.6976744186046512,0.7868852459016393,0.75,0.8275862068965517,0.6334426229508197,0.27118644067796616
39,2319,63,0.5813953488372093,0.6538461538461539,0.6071428571428571,0.7083333333333334,0.5622171945701357,0.13228699551569512
40,2340,63,0.3023255813953488,0.4230769230769231,0.28205128205128205,0.8461538461538461,0.2703619909502262,-0.0556464811783961
41,2361,63,0.20930232558139536,0.22727272727272727,0.13157894736842105,0.8333333333333334,0.20887445887445888,-0.018105849582172873
42,2382,63,0.2558139534883721,0.36,0.23684210526315788,0.75,0.23555555555555555,-0.11147011308562216
43,2403,63,0.5813953488372093,0.7352941176470589,0.5813953488372093,1.0,0.36764705882352944,0.0
