prob_threshold,dip_threshold,tp,sl,monitor_days,sharpe,total_return,max_dd,calmar,win_rate,annual_return,annual_vol,num_trades
0.6,0.03,0.04,0.03,7,-0.1669926330780138,-0.5025911747568443,0.571875838666075,-0.2920085476377727,0.08760986674227389,-0.04867143892214032,0.1914461212828131,149
0.6,0.03,0.04,0.03,10,0.07539535325244082,-0.0537024442656725,0.4924616665850029,0.15309892803489297,0.10150269350722994,-0.003936081005509351,0.1956191818259421,155
0.6,0.03,0.04,0.03,14,-0.13805542465729204,-0.5000664995486832,0.6124375932166555,-0.22541957937656132,0.10178622058406578,-0.04832725042138064,0.20648098767569875,162
0.6,0.03,0.04,0.05,7,0.1784653617638439,0.24938730844928925,0.5504176275130735,0.32423627595321697,0.12248369719308194,0.016035525638334436,0.21086175387341594,136
0.6,0.03,0.04,0.05,10,0.2787174334256235,0.6850968455687307,0.5504176275130735,0.5063744682105106,0.13637652395803798,0.037987395925475065,0.21480758340713946,143
0.6,0.03,0.04,0.05,14,0.11327812500567591,0.0076812432529125285,0.666744118061867,0.16989744931677803,0.14006237595690388,0.0005468682083555887,0.22457518433306703,151
0.6,0.03,0.04,0.07,7,0.1696520538813852,0.2062218043794668,0.5609041334927243,0.30246176441055916,0.12985540119081374,0.013486284642946877,0.22512698826289895,131
0.6,0.03,0.04,0.07,10,0.20975063147688328,0.3668688994149687,0.5630481164252592,0.3725270103176453,0.1431811738020981,0.022580542051314767,0.22908637336143592,137
0.6,0.03,0.04,0.07,14,0.07300149175850791,-0.13709051130710526,0.6910450947805662,0.10563925901491093,0.14601644457045648,-0.010479508859659314,0.23767030798991587,145
0.6,0.03,0.06,0.03,7,0.06489199604154286,-0.14270457578132478,0.6078569287304986,0.10675537774500483,0.11312730365749929,-0.010940876741274419,0.22396514891210298,140
0.6,0.03,0.06,0.03,10,0.08468770277755837,-0.0973242422689472,0.6346315614079046,0.13344388764668766,0.12134958888573859,-0.007289082918993328,0.22873794252308016,145
0.6,0.03,0.06,0.03,14,0.007126477849246037,-0.29971766166824165,0.6451224628686117,0.0110467054852769,0.11851431811738021,-0.02513394087280041,0.23043427848094294,150
0.6,0.03,0.06,0.05,7,0.22886640372417694,0.433336910472812,0.6314584211311107,0.36244097167033745,0.14403175503260562,0.026055614111879954,0.2382328858572455,126
0.6,0.03,0.06,0.05,10,0.24125538861718446,0.49226411571116135,0.6464608043287183,0.37319414727348066,0.1596257442585767,0.02901349511288509,0.2450575500694611,136
0.6,0.03,0.06,0.05,14,0.179834914707752,0.20700994032763265,0.6707233495990665,0.26812085014671194,0.1596257442585767,0.013533583996950815,0.2461001558031254,140
0.6,0.03,0.06,0.07,7,0.18704257250278516,0.23452022172212983,0.6170719015787839,0.3031130926950897,0.15083640487666572,0.01516687749973511,0.2509221310719282,124
0.6,0.03,0.06,0.07,10,0.1940952146457624,0.25712271852031665,0.596126140977271,0.32559420113261367,0.1664303941026368,0.016483697937487385,0.25763302137067845,131
