date,strategy_equity,bnh_equity,position,strategy_return
2022-09-26,0.999,1.0223550542393465,1.0,-0.001
2022-09-27,0.9912746671229501,1.0144491151877615,1.0,-0.007733065942992949
2022-09-28,1.0086118540739408,1.0321916183966082,1.0,0.017489791201171053
2022-09-29,1.0178958659900084,1.0416926759601817,1.0,0.009204742020994307
2022-09-30,1.0091205030003405,1.0327121587376873,1.0,-0.008621081274490728
2022-10-01,1.0033190996171177,1.0267751276360666,1.0,-0.005748969886127552
2022-10-02,0.9901144903582417,1.0132618153086717,1.0,-0.013160926831668118
2022-10-03,1.0198478517065384,1.043690296043362,1.0,0.030030225431342223
2022-10-04,1.0566711244436453,1.0813744391829168,1.0,0.03610663362725089
2022-10-05,1.0473419108354463,1.0718271231824956,1.0,-0.008828871530970443
2022-10-06,1.037075931124798,1.0613211409563694,1.0,-0.009801937270379495
2022-10-07,1.0147047304374606,1.038426936659971,1.0,-0.02157142019781892
2022-10-08,1.008878907749293,1.032464915368329,1.0,-0.005741396993050264
2022-10-09,1.0099731004346835,1.033584688563745,1.0,0.0010845629510000696
2022-10-10,0.9940148248735433,1.0172533335318372,1.0,-0.015800693656367524
2022-10-11,0.9902807494557373,1.0134319612832838,1.0,-0.0037565590817833796
2022-10-12,0.9952441030756484,1.0185113503316254,1.0,0.005012067156348312
2022-10-13,1.006653633641256,1.0301876178393805,1.0,0.011464052417239419
2022-10-14,0.9963559607901474,1.019649201536844,1.0,-0.010229608781979822
2022-10-15,0.9907686159949496,1.013931233377536,1.0,-0.005607779764540043
2022-10-16,1.0008267718337291,1.0242245331353972,1.0,0.010151871664484294
2022-10-17,1.0157318999241731,1.0394781197593714,1.0,0.01489281513036929
2022-10-18,1.0031601216289736,1.0276519111114895,0.0,-0.012377063569764792
2022-10-19,1.0031601216289736,1.0168332856570137,0.0,-0.0
2022-10-20,1.0031601216289736,1.0124706365267253,0.0,-0.0
2022-10-21,1.0031601216289736,1.0189813785864914,0.0,0.0
2022-10-22,1.0031601216289736,1.0211071398568012,0.0,0.0
2022-10-23,1.0031601216289736,1.0405702442339129,0.0,0.0
2022-10-24,1.0031601216289736,1.0277731401184007,0.0,-0.0
2022-10-25,1.0031601216289736,1.0676697126340833,0.0,0.0
2022-10-26,1.0031601216289736,1.1044382577477567,0.0,0.0
2022-10-27,1.0031601216289736,1.079103522128016,0.0,-0.0
2022-10-28,1.0031601216289736,1.094880839330093,0.0,0.0
2022-10-29,1.0031601216289736,1.1064629948456406,0.0,0.0
2022-10-30,1.0031601216289736,1.096775840122335,0.0,-0.0
2022-10-31,1.0031601216289736,1.0895052899446922,0.0,-0.0
2022-11-01,1.0031601216289736,1.08912671515118,0.0,-0.0
2022-11-02,1.0031601216289736,1.07148576782093,0.0,-0.0
2022-11-03,1.0031601216289736,1.0744622589643003,0.0,0.0
2022-11-04,1.0031601216289736,1.1244798584385494,0.0,0.0
2022-11-05,1.0031601216289736,1.1325006460229976,0.0,0.0
2022-11-06,1.0031601216289736,1.1115625887284677,0.0,-0.0
2022-11-07,1.0031601216289736,1.0948430881919762,0.0,-0.0
2022-11-08,1.0031601216289736,0.9861676639702078,0.0,-0.0
2022-11-09,1.0031601216289736,0.8466256331291231,0.0,-0.0
2022-11-10,1.0031601216289736,0.9358640065761424,0.0,0.0
2022-11-11,1.0031601216289736,0.9076389162126787,0.0,-0.0
2022-11-12,1.0031601216289736,0.8939086677676534,0.0,-0.0
2022-11-13,1.0031601216289736,0.8682682010997815,0.0,-0.0
2022-11-14,1.0031601216289736,0.8836669435083465,0.0,0.0
2022-11-15,1.0031601216289736,0.8986137356718483,0.0,0.0
2022-11-16,1.0031601216289736,0.8859692312273163,0.0,-0.0
2022-11-17,1.0031601216289736,0.8875537156158917,0.0,0.0
2022-11-18,1.0031601216289736,0.8879732317845446,0.0,0.0
2022-11-19,1.0031601216289736,0.8879854610264697,0.0,0.0
2022-11-20,1.0031601216289736,0.8656298750809525,0.0,-0.0
2022-11-21,1.0031601216289736,0.8391009274019031,0.0,-0.0
2022-11-22,1.0031601216289736,0.8627964128974904,0.0,0.0
2022-11-23,1.0031601216289736,0.8827976039193127,0.0,0.0
2022-11-24,1.0031601216289736,0.882576414152317,0.0,-0.0
2022-11-25,1.0031601216289736,0.8784923790554561,0.0,-0.0
2022-11-26,1.0031601216289736,0.8751123229285528,0.0,-0.0
2022-11-27,1.0031601216289736,0.8735283702461483,0.0,-0.0
2022-11-28,1.0031601216289736,0.8620504291400506,0.0,-0.0
2022-11-29,1.0031601216289736,0.8742594662308095,0.0,0.0
2022-11-30,1.0031601216289736,0.9126013299034742,0.0,0.0
2022-12-01,1.0031601216289736,0.9026972390625383,0.0,-0.0
2022-12-02,1.0031601216289736,0.908831533153475,0.0,0.0
2022-12-03,1.0031601216289736,0.8977965032875393,0.0,-0.0
2022-12-04,1.0031601216289736,0.909520624350654,0.0,0.0
2022-12-05,1.0031601216289736,0.9021112988624678,0.0,-0.0
2022-12-06,1.0031601216289736,0.9086305482209643,0.0,0.0
2022-12-07,1.0031601216289736,0.8952145381228007,0.0,-0.0
2022-12-08,1.0031601216289736,0.9158160254113014,0.0,0.0
2022-12-09,1.0031601216289736,0.9107361046567891,0.0,-0.0
2022-12-10,1.0031601216289736,0.9106792120965281,0.0,-0.0
2022-12-11,1.0031601216289736,0.9084226511082351,0.0,-0.0
2022-12-12,1.0031601216289736,0.9150572807057654,0.0,0.0
2022-12-13,1.0031601216289736,0.9450917671679945,0.0,0.0
2022-12-14,1.0031601216289736,0.9466044712235302,0.0,0.0
2022-12-15,1.0031601216289736,0.9228473078121459,0.0,-0.0
2022-12-16,1.0031601216289736,0.884340083520405,0.0,-0.0
2022-12-17,1.0031601216289736,0.8920179206247758,0.0,0.0
2022-12-18,1.0031601216289736,0.8899809542849666,0.0,-0.0
2022-12-19,1.0031601216289736,0.8740653934785173,0.0,-0.0
2022-12-20,1.0031601216289736,0.8983473508803457,0.0,0.0
2022-12-21,1.0031601216289736,0.894578085836517,0.0,-0.0
2022-12-22,1.0031601216289736,0.8944058130372223,0.0,-0.0
2022-12-23,1.0031601216289736,0.892123198446567,0.0,-0.0
2022-12-24,1.0031601216289736,0.895186889401926,0.0,0.0
2022-12-25,1.0031601216289736,0.8949736752274904,0.0,-0.0
2022-12-26,1.0031601216289736,0.8996144066850352,0.0,0.0
2022-12-27,1.0031601216289736,0.8882874701314059,0.0,-0.0
2022-12-28,1.0031601216289736,0.8798306834870142,0.0,-0.0
2022-12-29,1.0031601216289736,0.884411863853445,0.0,0.0
2022-12-30,1.0031601216289736,0.8830299595158922,0.0,-0.0
2022-12-31,1.0031601216289736,0.8795696157572188,0.0,-0.0
2023-01-01,1.0031601216289736,0.8835228511360966,0.0,0.0
2023-01-02,1.0031601216289736,0.8865067861658562,0.0,0.0
2023-01-03,1.0031601216289736,0.8866296102912794,0.0,0.0
2023-01-04,1.0031601216289736,0.8959440389889504,0.0,0.0
2023-01-05,1.0031601216289736,0.8949598508670534,0.0,-0.0
2023-01-06,1.0031601216289736,0.9012765201745275,0.0,0.0
2023-01-07,1.0031601216289736,0.9009000722056982,0.0,-0.0
2023-01-08,1.0031601216289736,0.910697290106331,0.0,0.0
2023-01-09,1.0031601216289736,0.9133786843249834,0.0,0.0
2023-01-10,1.0031601216289736,0.9273306542431751,0.0,0.0
2023-01-11,1.0031601216289736,0.954054206380687,0.0,0.0
2023-01-12,1.0031601216289736,1.0020864150136812,0.0,0.0
2023-01-13,1.0031601216289736,1.0596909298371175,0.0,0.0
2023-01-14,1.0031601216289736,1.1141860269745179,0.0,0.0
2023-01-15,1.0031601216289736,1.109750534098849,0.0,-0.0
2023-01-16,1.0031601216289736,1.1264540834502208,0.0,0.0
2023-01-17,1.0031601216289736,1.1237508892785713,0.0,-0.0
2023-01-18,1.0031601216289736,1.0994338392694791,0.0,-0.0
2023-01-19,1.0031601216289736,1.120389442867641,0.0,0.0
2023-01-20,1.0031601216289736,1.2052295428709376,0.0,0.0
2023-01-21,1.0031601216289736,1.2114154124604286,0.0,0.0
2023-01-22,1.0031601216289736,1.2073919918670233,0.0,-0.0
2023-01-23,1.0031601216289736,1.2184817874685372,0.0,0.0
2023-01-24,1.0031601216289736,1.203404727293223,0.0,-0.0
2023-01-25,1.0031601216289736,1.2261644099284437,0.0,0.0
2023-01-26,1.0031601216289736,1.2234372889791143,0.0,-0.0
2023-01-27,1.0031601216289736,1.22686732548606,0.0,0.0
2023-01-28,1.0031601216289736,1.2241258484701225,0.0,-0.0
2023-01-29,1.0031601216289736,1.2623927415727239,0.0,0.0
