fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.7936507936507936,0.8311688311688312,0.7111111111111111,1.0,0.5844748858447488
1,821,63,0.873015873015873,0.8461538461538461,0.7586206896551724,0.9565217391304348,0.7404737384140061
2,842,63,0.9365079365079365,0.9,0.8181818181818182,1.0,0.8541666666666666
3,863,63,0.7936507936507936,0.3157894736842105,1.0,0.1875,0.2561307901907356
4,884,63,0.6825396825396826,0.0,0.0,0.0,0.0
5,905,63,0.5714285714285714,0.0,0.0,0.0,0.0
6,926,63,0.6984126984126984,0.0,0.0,0.0,0.0
7,947,63,0.873015873015873,0.8260869565217391,0.7916666666666666,0.8636363636363636,0.7263843648208469
8,968,63,0.9047619047619048,0.8571428571428571,0.782608695652174,0.9473684210526315,0.7866817155756207
9,989,63,0.8412698412698413,0.8,0.7407407407407407,0.8695652173913043,0.6698113207547169
10,1010,63,0.9365079365079365,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7941176470588235
11,1031,63,0.9365079365079365,0.75,0.75,0.75,0.7136363636363636
12,1052,63,0.9682539682539683,0.8333333333333334,1.0,0.7142857142857143,0.8163265306122449
13,1073,63,1.0,1.0,1.0,1.0,1.0
14,1094,63,1.0,1.0,1.0,1.0,1.0
15,1115,63,0.9523809523809523,0.7272727272727273,0.6666666666666666,0.8,0.7014218009478672
16,1136,63,0.9047619047619048,0.8,0.8,0.8,0.7375
17,1157,63,0.8571428571428571,0.8,0.8571428571428571,0.75,0.6896551724137931
18,1178,63,0.9206349206349206,0.8780487804878049,0.9473684210526315,0.8181818181818182,0.8196908986834573
19,1199,63,0.9841269841269841,0.9411764705882353,1.0,0.8888888888888888,0.9320388349514563
20,1220,63,0.9365079365079365,0.8,0.7272727272727273,0.8888888888888888,0.7627118644067796
21,1241,63,0.9523809523809523,0.918918918918919,0.8947368421052632,0.9444444444444444,0.8852459016393442
22,1262,63,0.9523809523809523,0.918918918918919,0.8947368421052632,0.9444444444444444,0.8852459016393442
23,1283,63,0.9682539682539683,0.9,0.8181818181818182,1.0,0.8813559322033898
24,1304,63,0.9841269841269841,0.0,0.0,0.0,0.0
25,1325,63,0.9841269841269841,0.0,0.0,0.0,0.0
26,1346,63,1.0,0.0,0.0,0.0,
27,1367,63,0.9841269841269841,0.6666666666666666,0.5,1.0,0.6594594594594594
28,1388,63,0.9682539682539683,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8703703703703703
29,1409,63,0.9523809523809523,0.8421052631578947,0.8,0.8888888888888888,0.8141592920353982
30,1430,63,0.9841269841269841,0.9333333333333333,1.0,0.875,0.9243697478991597
31,1451,63,1.0,0.0,0.0,0.0,
32,1472,63,0.9206349206349206,0.8,0.6666666666666666,1.0,0.7529411764705882
33,1493,63,0.8888888888888888,0.8,0.7,0.9333333333333333,0.7252336448598131
34,1514,63,0.8888888888888888,0.8,0.7,0.9333333333333333,0.7252336448598131
35,1535,63,0.8571428571428571,0.7692307692307693,0.6521739130434783,0.9375,0.6705403834979663
36,1556,63,0.873015873015873,0.8260869565217391,0.76,0.9047619047619048,0.7272727272727273
37,1577,63,0.9523809523809523,0.9565217391304348,0.9705882352941176,0.9428571428571428,0.9039145907473309
38,1598,63,0.9365079365079365,0.92,0.9583333333333334,0.8846153846153846,0.8675078864353312
39,1619,63,0.9523809523809523,0.9333333333333333,0.9130434782608695,0.9545454545454546,0.8963247394404827
40,1640,63,0.9206349206349206,0.7619047619047619,0.7272727272727273,0.8,0.71441523118767
41,1661,63,0.9841269841269841,0.9333333333333333,1.0,0.875,0.9243697478991597
42,1682,63,1.0,1.0,1.0,1.0,1.0
43,1703,63,1.0,0.0,0.0,0.0,
44,1724,63,1.0,1.0,1.0,1.0,1.0
45,1745,63,1.0,1.0,1.0,1.0,1.0
46,1766,63,0.873015873015873,0.6923076923076923,0.5294117647058824,1.0,0.6216216216216216
47,1787,63,0.8095238095238095,0.6470588235294118,0.4782608695652174,1.0,0.5378973105134475
48,1808,63,0.6507936507936508,0.5769230769230769,0.40540540540540543,1.0,0.3601108033240997
49,1829,63,0.8571428571428571,0.8085106382978723,0.6785714285714286,1.0,0.7011070110701108
50,1850,63,0.9682539682539683,0.9,0.8181818181818182,1.0,0.8813559322033898
51,1871,63,1.0,1.0,1.0,1.0,1.0
52,1892,63,0.9841269841269841,0.6666666666666666,1.0,0.5,0.6594594594594594
53,1913,63,0.9841269841269841,0.6666666666666666,1.0,0.5,0.6594594594594594
54,1934,63,0.9841269841269841,0.6666666666666666,1.0,0.5,0.6594594594594594
55,1955,63,0.9365079365079365,0.3333333333333333,1.0,0.2,0.3152173913043479
56,1976,63,0.8412698412698413,0.4444444444444444,0.8,0.3076923076923077,0.37250996015936255
57,1997,63,0.8571428571428571,0.64,1.0,0.47058823529411764,0.5648503453568687
58,2018,63,0.9365079365079365,0.8947368421052632,1.0,0.8095238095238095,0.85
59,2039,63,0.7936507936507936,0.7346938775510204,0.5806451612903226,1.0,0.5844748858447488
