name,avg_kappa_default,avg_kappa_optimized,kappa_std,positive_ratio
baseline (auto_scale),0.9888368292948325,0.9955932400740088,0.024216122730228395,1.0
is_unbalance=true,0.9846784134532485,0.9927726911570389,0.03682804318505939,1.0
scale_pos_weight=10,0.9853189828482661,0.9911154078192181,0.03681006076083742,1.0
scale_pos_weight=5,0.9846784134532485,0.9902198854311584,0.03682804318505939,1.0
scale_pos_weight=8,0.9853189828482661,0.9902198854311584,0.03681006076083742,1.0
