fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.38095238095238093,0.43478260869565216,0.2777777777777778,1.0,0.37528604118993136,0.0990099009900991
1,1521,63,0.5555555555555556,0.6,0.45652173913043476,0.875,0.55,0.19891008174386915
2,1542,63,0.8253968253968254,0.717948717948718,0.7777777777777778,0.6666666666666666,0.7957559681697612,0.5925925925925926
3,1563,63,0.8412698412698413,0.7368421052631579,0.8235294117647058,0.6666666666666666,0.8116028708133971,0.625
4,1584,63,0.7936507936507936,0.3157894736842105,0.2,0.75,0.5971470732907034,0.23955431754874645
5,1605,63,0.6349206349206349,0.4888888888888889,0.3333333333333333,0.9166666666666666,0.6024691358024691,0.29074889867841414
6,1626,63,0.5079365079365079,0.5753424657534246,0.40384615384615385,1.0,0.4952184026880331,0.19130434782608685
7,1647,63,0.6031746031746031,0.5283018867924528,0.4375,0.6666666666666666,0.5929180666838976,0.21052631578947367
8,1668,63,0.7619047619047619,0.5454545454545454,0.5625,0.5294117647058824,0.6920821114369502,0.3843648208469055
9,1689,63,0.6507936507936508,0.35294117647058826,0.375,0.3333333333333333,0.5569053708439898,0.11494252873563215
10,1710,63,0.7142857142857143,0.25,1.0,0.14285714285714285,0.5367647058823529,0.18181818181818177
11,1731,63,0.746031746031746,0.6363636363636364,0.7368421052631579,0.56,0.7206208425720622,0.44676180021953893
12,1752,63,0.6825396825396826,0.23076923076923078,0.21428571428571427,0.25,0.5153846153846154,0.032258064516129115
13,1773,63,0.6349206349206349,0.14814814814814814,0.11764705882352941,0.2,0.4579124579124579,-0.06465833945628208
14,1794,63,0.5238095238095238,0.4,0.2857142857142857,0.6666666666666666,0.5026315789473684,0.10000000000000009
15,1815,63,0.8412698412698413,0.6153846153846154,0.8888888888888888,0.47058823529411764,0.7576923076923077,0.527027027027027
16,1836,63,0.7619047619047619,0.21052631578947367,0.6666666666666666,0.125,0.5351696999508115,0.1416893732970026
17,1857,63,0.7777777777777778,0.125,0.07142857142857142,0.5,0.49886363636363634,0.07352941176470584
18,1878,63,0.7301587301587301,0.0,0.0,0.0,0.42201834862385323,0.0
19,1899,63,0.873015873015873,0.2,0.1111111111111111,1.0,0.5655172413793104,0.17647058823529416
20,1920,63,0.7619047619047619,0.11764705882352941,0.09090909090909091,0.16666666666666666,0.49001618996222346,-0.006389776357827559
21,1941,63,0.8253968253968254,0.47619047619047616,0.5555555555555556,0.4166666666666667,0.6857142857142857,0.3739837398373984
22,1962,63,0.6349206349206349,0.08,0.14285714285714285,0.05555555555555555,0.42613861386138613,-0.09523809523809534
23,1983,63,0.7142857142857143,0.1,0.14285714285714285,0.07692307692307693,0.4650943396226415,-0.051948051948051965
24,2004,63,0.4603174603174603,0.19047619047619047,0.13333333333333333,0.3333333333333333,0.39285714285714285,-0.11214953271028039
25,2025,63,0.5714285714285714,0.4489795918367347,0.3235294117647059,0.7333333333333333,0.549165120593692,0.17706821480406387
26,2046,63,0.6190476190476191,0.6666666666666666,0.5853658536585366,0.7741935483870968,0.6111111111111112,0.2417251755265798
27,2067,63,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.3225806451612903,0.0
28,2088,63,0.4444444444444444,0.5783132530120482,0.41379310344827586,0.96,0.38217988231997757,0.05324173465006421
29,2109,63,0.3333333333333333,0.4878048780487805,0.38461538461538464,0.6666666666666666,0.26662971175166295,-0.29325513196480935
30,2130,63,0.5555555555555556,0.4166666666666667,0.5882352941176471,0.3225806451612903,0.5288461538461539,0.1045685279187818
31,2151,63,0.38095238095238093,0.13333333333333333,1.0,0.07142857142857142,0.3259259259259259,0.04878048780487809
32,2172,63,0.5079365079365079,0.3404255319148936,0.4444444444444444,0.27586206896551724,0.47401023431187717,-0.018779342723004522
33,2193,63,0.5396825396825397,0.12121212121212122,0.2857142857142857,0.07692307692307693,0.404692082111437,-0.06530612244897971
34,2214,63,0.5238095238095238,0.25,0.2,0.3333333333333333,0.45058139534883723,-0.06779661016949157
35,2235,63,0.12698412698412698,0.2028985507246377,0.11290322580645161,1.0,0.11899313501144165,0.004024144869215429
36,2256,63,0.31746031746031744,0.21818181818181817,0.125,0.8571428571428571,0.3062740076824584,0.0300751879699247
37,2277,63,0.15873015873015872,0.208955223880597,0.11666666666666667,1.0,0.15532506956741715,0.01242236024844734
38,2298,63,0.5396825396825397,0.5084745762711864,0.3409090909090909,1.0,0.537819377687832,0.23779724655819778
39,2319,63,0.5714285714285714,0.4489795918367347,0.3548387096774194,0.6111111111111112,0.549165120593692,0.136986301369863
40,2340,63,0.6666666666666666,0.36363636363636365,0.8571428571428571,0.23076923076923078,0.5689149560117301,0.22857142857142854
41,2361,63,0.5238095238095238,0.34782608695652173,0.6153846153846154,0.24242424242424243,0.48641304347826086,0.07352941176470584
42,2382,63,0.49206349206349204,0.2,1.0,0.1111111111111111,0.413953488372093,0.09677419354838712
43,2403,63,0.873015873015873,0.8518518518518519,1.0,0.7419354838709677,0.8703703703703703,0.7449392712550608
44,2424,63,0.4126984126984127,0.4307692307692308,0.2857142857142857,0.875,0.41210592686002523,0.07756232686980613
45,2445,63,0.4444444444444444,0.38596491228070173,0.2682926829268293,0.6875,0.4393592677345538,0.03247038174638006
46,2466,63,0.25396825396825395,0.22950819672131148,0.14285714285714285,0.5833333333333334,0.2532156368221942,-0.11023622047244097
47,2487,63,0.49206349206349204,0.2,0.14285714285714285,0.3333333333333333,0.413953488372093,-0.09090909090909083
48,2508,63,0.23809523809523808,0.22580645161290322,0.12727272727272726,1.0,0.23790322580645162,0.03571428571428559
49,2529,63,0.3492063492063492,0.3880597014925373,0.24528301886792453,0.9285714285714286,0.34657222362762463,0.05626598465473143
50,2550,63,0.7301587301587301,0.0,0.0,0.0,0.42201834862385323,0.0
51,2571,63,0.6349206349206349,0.0,0.0,0.0,0.3883495145631068,-0.03131672597864754
52,2592,63,0.5714285714285714,0.22857142857142856,0.3333333333333333,0.17391304347826086,0.46593406593406594,-0.029038112522685955
53,2613,63,0.42857142857142855,0.3076923076923077,0.7272727272727273,0.1951219512195122,0.4106029106029106,0.04465037910699243
54,2634,63,0.4126984126984127,0.24489795918367346,1.0,0.13953488372093023,0.3821892393320965,0.09334889148191372
55,2655,63,0.49206349206349204,0.2727272727272727,1.0,0.15789473684210525,0.44124168514412415,0.1295336787564766
56,2676,63,0.5238095238095238,0.5714285714285714,0.4166666666666667,0.9090909090909091,0.5178571428571428,0.17754569190600522
