train_end,kappa,accuracy,f1
1500,0.2680965147453084,0.5873015873015873,0.6578947368421053
1521,0.04316546762589912,0.3968253968253968,0.4864864864864865
1542,0.0035945363048168755,0.30158730158730157,0.42105263157894735
1563,0.0,0.7619047619047619,0.8648648648648649
1584,0.0,0.6984126984126984,0.822429906542056
1605,0.0,0.42857142857142855,0.6
1626,0.04465037910699243,0.42857142857142855,0.5135135135135135
1647,0.03976143141153066,0.2698412698412698,0.34285714285714286
1668,0.022413793103448154,0.42857142857142855,0.5909090909090909
1689,-0.11764705882352944,0.3968253968253968,0.42424242424242425
1710,0.04807692307692324,0.30158730158730157,0.18518518518518517
1731,0.042710472279260614,0.4126984126984127,0.17777777777777778
1752,0.0,0.6031746031746031,0.7524752475247525
1773,0.5374449339207048,0.7619047619047619,0.7692307692307693
1794,0.032753326509723735,0.5238095238095238,0.0625
1815,0.08597528210639438,0.5714285714285714,0.425531914893617
1836,0.23529411764705888,0.5873015873015873,0.48
1857,0.25958099131323453,0.6349206349206349,0.676056338028169
1878,0.3460207612456748,0.6666666666666666,0.6557377049180327
1899,0.23779724655819778,0.5396825396825397,0.5084745762711864
1920,0.09436048654625873,0.38095238095238093,0.4507042253521127
1941,0.2417582417582418,0.6349206349206349,0.7415730337078652
1962,0.32558139534883723,0.6551724137931034,0.7368421052631579
1983,0.0,0.5405405405405406,0.7017543859649122
