fold_id,train_size,test_size,accuracy,cohen_kappa,f1_macro,precision_macro,recall_macro
0,730,56,0.375,0.10256410256410242,0.2966507177033493,0.25,0.411764705882353
1,786,56,0.14285714285714285,0.0,0.08333333333333333,0.3333333333333333,0.047619047619047616
2,842,56,0.0,0.0,0.0,0.0,0.0
3,898,56,0.6607142857142857,0.0,0.3978494623655914,0.33035714285714285,0.5
4,954,56,0.0,0.0,0.0,0.0,0.0
5,1010,56,0.25,-0.0828729281767957,0.15555555555555556,0.10144927536231885,0.3333333333333333
6,1066,56,0.8035714285714286,0.12,0.4296296296296296,0.4382716049382716,0.43703703703703706
7,1122,56,0.30357142857142855,0.0,0.2328767123287671,0.15178571428571427,0.5
8,1178,56,0.9464285714285714,0.0,0.48623853211009177,0.4732142857142857,0.5
9,1234,56,0.35714285714285715,0.18938480096501809,0.39254952627045653,0.6353276353276353,0.5095238095238095
10,1290,56,0.19642857142857142,0.0,0.10945273631840796,0.06547619047619048,0.3333333333333333
11,1346,56,0.0,0.0,0.0,0.0,0.0
12,1402,56,0.19642857142857142,0.0,0.10945273631840796,0.06547619047619048,0.3333333333333333
13,1458,56,0.07142857142857142,0.0,0.044444444444444446,0.023809523809523808,0.3333333333333333
14,1514,56,0.08928571428571429,-0.0045726345409780045,0.05555555555555555,0.030303030303030304,0.3333333333333333
15,1570,56,0.7321428571428571,0.17322834645669294,0.4277180406212664,0.42857142857142855,0.5740740740740741
16,1626,56,0.35714285714285715,0.009823182711198308,0.17777777777777778,0.12121212121212122,0.3333333333333333
17,1682,56,0.125,0.0,0.07407407407407407,0.041666666666666664,0.3333333333333333
18,1738,56,0.48214285714285715,0.16202270381836936,0.33308494783904624,0.36096256684491984,0.45384615384615384
19,1794,56,0.7678571428571429,0.18018018018018012,0.3454913880445795,0.3376811594202898,0.375
20,1850,56,0.9285714285714286,0.0,0.48148148148148145,0.5,0.4642857142857143
21,1906,56,0.03571428571428571,0.0,0.022988505747126436,0.011904761904761904,0.3333333333333333
22,1962,56,0.03571428571428571,0.003295978905734964,0.027777777777777776,0.014492753623188406,0.3333333333333333
23,2018,56,0.32142857142857145,0.20359281437125742,0.2984126984126984,0.35000000000000003,0.5555555555555555
24,2074,56,0.39285714285714285,0.0,0.18803418803418803,0.13095238095238096,0.3333333333333333
25,2130,56,0.625,0.2149532710280374,0.28806584362139914,0.29914529914529914,0.2777777777777778
26,2186,56,0.6785714285714286,0.5280898876404494,0.6526001705029838,0.7114367114367114,0.7056856187290969
27,2242,56,0.0,0.0,0.0,0.0,0.0
28,2298,56,0.5357142857142857,0.18064153066966804,0.35760368663594466,0.33806451612903227,0.5384615384615384
29,2354,56,0.17857142857142858,0.07736389684813749,0.23268921095008047,0.4969696969696969,0.5151515151515151
30,2410,56,0.6071428571428571,0.26491646778042965,0.4132996632996633,0.4226190476190476,0.5227272727272728
31,2466,56,0.26785714285714285,-0.11186440677966103,0.16444095312909138,0.2253968253968254,0.3164251207729469
32,2522,56,0.25,0.0,0.13333333333333333,0.08333333333333333,0.3333333333333333
33,2578,56,0.30357142857142855,-0.4293193717277488,0.17806657546739624,0.1840277777777778,0.17397660818713448
34,2634,56,0.03571428571428571,0.02199223803363526,0.05555555555555555,0.3333333333333333,0.030303030303030304
35,2690,56,0.08928571428571429,0.019903912148249825,0.26741996233521653,0.3575757575757576,0.5
36,2746,56,0.6428571428571429,0.3548387096774194,0.44306845545235635,0.4827219564061669,0.4444444444444445
