fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.7142857142857143,0.8125,0.7090909090909091,0.9512195121951219,0.60625,0.2626788036410923
1,1521,63,0.6031746031746031,0.691358024691358,0.5714285714285714,0.875,0.5679012345679012,0.19928825622775803
2,1542,63,0.6825396825396826,0.7435897435897436,0.6590909090909091,0.8529411764705882,0.6634615384615385,0.34443288241415193
3,1563,63,0.5238095238095238,0.6052631578947368,0.46,0.8846153846153846,0.5026315789473684,0.13619744058500904
4,1584,63,0.5714285714285714,0.7216494845360825,0.6363636363636364,0.8333333333333334,0.3953075008887309,-0.14084507042253525
5,1605,63,0.5079365079365079,0.5974025974025974,0.71875,0.5111111111111111,0.4823747680890538,0.0091324200913242
6,1626,63,0.4444444444444444,0.4262295081967213,1.0,0.2708333333333333,0.4438839848675914,0.1502890173410405
7,1647,63,0.38095238095238093,0.2909090909090909,1.0,0.1702127659574468,0.37080665813060176,0.09436048654625873
8,1668,63,0.6507936507936508,0.7659574468085106,0.782608695652174,0.75,0.5392287234042553,0.07968127490039845
9,1689,63,0.5873015873015873,0.7045454545454546,0.6458333333333334,0.775,0.5101674641148326,0.038732394366197354
10,1710,63,0.3968253968253968,0.5581395348837209,0.3870967741935484,1.0,0.3040697674418605,0.019656019656019597
11,1731,63,0.5079365079365079,0.6075949367088608,0.4444444444444444,0.96,0.47401023431187717,0.14229249011857703
12,1752,63,0.47619047619047616,0.6024096385542169,0.43859649122807015,0.9615384615384616,0.4174838890445503,0.0821192052980132
13,1773,63,0.7142857142857143,0.7096774193548387,0.5641025641025641,0.9565217391304348,0.7142137096774194,0.4630681818181819
14,1794,63,0.7142857142857143,0.4,0.2608695652173913,0.8571428571428571,0.60625,0.2767857142857142
15,1815,63,0.7777777777777778,0.631578947368421,0.5454545454545454,0.75,0.736244019138756,0.4781065088757396
16,1836,63,0.7619047619047619,0.782608695652174,0.7714285714285715,0.7941176470588235,0.7597254004576659,0.5195729537366548
17,1857,63,0.873015873015873,0.9310344827586207,0.8709677419354839,1.0,0.5655172413793104,0.17647058823529416
18,1878,63,0.6507936507936508,0.7708333333333334,0.9736842105263158,0.6379310344827587,0.51875,0.15487804878048783
19,1899,63,0.3492063492063492,0.49382716049382713,1.0,0.32786885245901637,0.291358024691358,0.03004130679684558
20,1920,63,0.2698412698412698,0.23333333333333334,1.0,0.1320754716981132,0.2681818181818182,0.046082949308755894
21,1941,63,0.5873015873015873,0.723404255319149,0.7555555555555555,0.6938775510204082,0.4554521276595745,-0.08333333333333326
22,1962,63,0.6984126984126984,0.822429906542056,0.6984126984126984,1.0,0.411214953271028,0.0
23,1983,63,0.8095238095238095,0.8947368421052632,0.8225806451612904,0.9807692307692307,0.4473684210526316,-0.029972752043596618
24,2004,63,0.746031746031746,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.5245283018867924,0.049056603773584895
