fold_id,train_size,test_size,accuracy,f1_macro,precision_macro,recall_macro,cohen_kappa
0,1500,63,0.25396825396825395,0.16294555424990206,0.12962962962962962,0.3452380952380953,-0.018575851393188847
1,1563,63,0.25396825396825395,0.15812206572769952,0.21818181818181817,0.30648148148148147,-0.03603918824352692
2,1626,63,0.2857142857142857,0.20955882352941177,0.42767295597484273,0.367816091954023,0.04028436018957349
3,1689,63,0.23809523809523808,0.24735200568199364,0.2906565656565656,0.31176231176231173,-0.04818024263431542
4,1752,63,0.6666666666666666,0.26666666666666666,0.24561403508771928,0.2916666666666667,-0.13855421686747005
5,1815,63,0.6031746031746031,0.34219392224243655,0.43696969696969695,0.6108747044917258,0.0019011406844106071
6,1878,63,0.3333333333333333,0.18666666666666668,0.19999999999999998,0.17500000000000002,-0.03927729772191668
7,1941,63,0.3333333333333333,0.32580709051297285,0.2930212945393211,0.4912054912054913,-0.09248554913294793
8,2004,63,0.25396825396825395,0.31904871449384903,0.5424501424501424,0.6006802721088436,0.13268892794376097
9,2067,63,0.3333333333333333,0.2443835616438356,0.21999999999999997,0.327536231884058,-0.02004626060138781
10,2130,63,0.42857142857142855,0.4183501683501684,0.3861635220125786,0.5555555555555555,0.20197044334975378
11,2193,63,0.3492063492063492,0.334026334026334,0.3380325814536341,0.335978835978836,0.013745704467353903
12,2256,63,0.047619047619047616,0.043478260869565216,0.037037037037037035,0.05263157894736842,-0.09375
13,2319,63,0.31746031746031744,0.2731634239769409,0.28271604938271605,0.2900047824007652,-0.16666666666666674
14,2382,63,0.2857142857142857,0.27374965460071843,0.38289473684210523,0.47483870967741937,0.08252427184466027
15,2445,63,0.2222222222222222,0.2095593617332748,0.2976827094474153,0.3142135642135642,-0.017468688200395377
16,2508,63,0.47619047619047616,0.2669479606188467,0.29580797836375927,0.5481481481481482,0.13734439834024892
17,2571,63,0.746031746031746,0.5183882783882784,0.4570035460992908,0.6212121212121212,0.42629482071713143
18,2634,63,0.23809523809523808,0.18888888888888888,0.196969696969697,0.4444444444444444,-0.05660377358490565
