fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.7301587301587301,0.8440366972477065,0.7301587301587301,1.0,0.42201834862385323,0.0
1,1521,63,0.6190476190476191,0.7647058823529411,0.6190476190476191,1.0,0.38235294117647056,0.0
2,1542,63,0.7142857142857143,0.8333333333333334,0.7142857142857143,1.0,0.4166666666666667,0.0
3,1563,63,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0,0.35714285714285715,0.0
4,1584,63,0.7619047619047619,0.8648648648648649,0.7619047619047619,1.0,0.43243243243243246,0.0
5,1605,63,0.6984126984126984,0.822429906542056,0.6984126984126984,1.0,0.411214953271028,0.0
6,1626,63,0.8412698412698413,0.8958333333333334,0.86,0.9347826086956522,0.78125,0.5649171270718232
7,1647,63,0.6190476190476191,0.75,0.6666666666666666,0.8571428571428571,0.475,0.0
8,1668,63,0.5714285714285714,0.7272727272727273,0.6206896551724138,0.8780487804878049,0.36363636363636365,-0.14854827819041194
9,1689,63,0.6190476190476191,0.7333333333333333,0.673469387755102,0.8048780487804879,0.5333333333333333,0.0847457627118644
10,1710,63,0.6984126984126984,0.7865168539325843,0.660377358490566,0.9722222222222222,0.6365016702095354,0.3316582914572864
11,1731,63,0.6031746031746031,0.7311827956989247,0.576271186440678,1.0,0.4868035190615836,0.14726583649160796
12,1752,63,0.5238095238095238,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5088357588357588,0.017671517671517756
13,1773,63,0.4603174603174603,0.6304347826086957,0.4603174603174603,1.0,0.31521739130434784,0.0
14,1794,63,0.5555555555555556,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.5545454545454546,0.2222222222222222
15,1815,63,0.4603174603174603,0.2916666666666667,0.2692307692307692,0.3181818181818182,0.4278846153846154,-0.13936170212765964
16,1836,63,0.4444444444444444,0.0,0.0,0.0,0.3076923076923077,0.0
17,1857,63,0.19047619047619047,0.03773584905660377,1.0,0.019230769230769232,0.1695528560351512,0.006800618238021805
18,1878,63,0.36507936507936506,0.4594594594594595,0.9444444444444444,0.30357142857142855,0.34511434511434513,0.04761904761904767
