fold_id,train_size,test_size,accuracy,f1_macro,precision_macro,recall_macro,cohen_kappa
0,1500,63,0.15873015873015872,0.09389671361502348,0.0546448087431694,0.3333333333333333,-0.010899182561308063
1,1521,63,0.30158730158730157,0.2633465383889832,0.3360433604336044,0.3881975867269985,0.058103975535168106
2,1542,63,0.3968253968253968,0.367755991285403,0.3919934640522876,0.43540903540903536,0.12563915266617975
3,1563,63,0.30158730158730157,0.4184149184149184,0.5600414078674948,0.5851851851851851,0.1491712707182321
4,1584,63,0.3492063492063492,0.2306725329981144,0.4489795918367347,0.27052631578947367,-0.011354737666405601
5,1605,63,0.4603174603174603,0.41415819176112906,0.5638752052545156,0.471677559912854,0.24921135646687698
6,1626,63,0.38095238095238093,0.31875000000000003,0.4217687074829932,0.41532567049808433,0.14030790762771173
7,1647,63,0.3333333333333333,0.31590413943355117,0.41380471380471384,0.3702408702408702,0.036767382599199205
8,1668,63,0.38095238095238093,0.3412273062236217,0.42400793650793656,0.3990818549642079,0.09569377990430616
9,1689,63,0.2698412698412698,0.2435147698305593,0.2495238095238095,0.2692307692307692,-0.06858407079646
10,1710,63,0.1746031746031746,0.1301985370950888,0.16046099290780141,0.20279720279720279,-0.15841584158415856
11,1731,63,0.30158730158730157,0.31012269384362406,0.530812324929972,0.6070785373110955,0.1630434782608695
12,1752,63,0.38095238095238093,0.25925925925925924,0.30194805194805197,0.2509920634920635,-0.06640625
13,1773,63,0.6031746031746031,0.2508250825082508,0.23899371069182387,0.2638888888888889,-0.12339514978601995
14,1794,63,0.5873015873015873,0.5319554063285804,0.5341880341880342,0.708994708994709,0.3206138531729572
15,1815,63,0.5714285714285714,0.2553191489361702,0.2608695652173913,0.25,0.017331022530329254
16,1836,63,0.2857142857142857,0.16429324894514769,0.18783602150537634,0.45390070921985815,-0.16474938373048498
17,1857,63,0.36507936507936506,0.24251805985552113,0.31379585326953746,0.326007326007326,-0.021897810218978186
18,1878,63,0.6031746031746031,0.4107744107744108,0.4385593220338983,0.4842391304347826,-0.03823335530652594
19,1899,63,0.4603174603174603,0.21245421245421245,0.15591397849462366,0.3333333333333333,0.013357899585444533
20,1920,63,0.5555555555555556,0.2667757774140753,0.37272727272727274,0.30448717948717946,0.006756756756756688
21,1941,63,0.4444444444444444,0.3409192324854975,0.273015873015873,0.543859649122807,-0.040585181689476224
22,1962,63,0.2698412698412698,0.20666666666666667,0.2820512820512821,0.21492921492921493,-0.10864575363427686
23,1983,63,0.2857142857142857,0.15384615384615385,0.09999999999999999,0.3333333333333333,0.013569937369519836
24,2004,63,0.2222222222222222,0.2675374939525883,0.19028520499108734,0.5185185185185185,0.0729729729729729
25,2025,63,0.3492063492063492,0.33045961131067514,0.5065985525755641,0.41111111111111115,0.14976958525345618
26,2046,63,0.5873015873015873,0.3969834087481146,0.5246913580246914,0.43333333333333335,0.23422159887798033
27,2067,63,0.4444444444444444,0.2830349531116794,0.47222222222222227,0.3833333333333333,0.08468244084682452
28,2088,63,0.3333333333333333,0.21022067363530775,0.44086021505376344,0.358974358974359,0.025773195876288568
29,2109,63,0.31746031746031744,0.2352320675105485,0.268361581920904,0.35555555555555557,0.011674571324334138
30,2130,63,0.2698412698412698,0.21245421245421245,0.2450980392156863,0.39080459770114945,0.04134965266291757
31,2151,63,0.38095238095238093,0.3717948717948718,0.2852564102564103,0.5641025641025641,0.20793036750483562
32,2172,63,0.4126984126984127,0.4227844866142738,0.4958916900093371,0.45096824806969743,0.16749999999999998
33,2193,63,0.42857142857142855,0.36462585034013606,0.3192592592592593,0.47420634920634924,0.194316163410302
34,2214,63,0.3492063492063492,0.3383197250531418,0.3949432404540764,0.3681445868945869,0.056955093099671394
35,2235,63,0.09523809523809523,0.06882591093117409,0.3611111111111111,0.34234234234234234,-0.00027855153203337757
36,2256,63,0.07936507936507936,0.0784313725490196,0.06527777777777778,0.3684210526315789,-0.03220338983050852
37,2277,63,0.031746031746031744,0.03333333333333333,0.2222222222222222,0.018018018018018018,-0.08375634517766506
38,2298,63,0.3333333333333333,0.32588318714728365,0.42943409247757075,0.5342973674453096,0.06303116147308774
39,2319,63,0.5555555555555556,0.44522241671529,0.4370083816892328,0.473076923076923,0.069620253164557
40,2340,63,0.5079365079365079,0.3556444666722236,0.601010101010101,0.34081196581196577,-0.039382650345928694
41,2361,63,0.4603174603174603,0.38645224171539966,0.4819624819624819,0.4998258446534309,0.2116304747883696
42,2382,63,0.38095238095238093,0.33580030227682706,0.6235697940503432,0.546031746031746,0.18991097922848654
43,2403,63,0.38095238095238093,0.29295774647887324,0.440251572327044,0.39814814814814814,0.11235549132947975
44,2424,63,0.36507936507936506,0.33243145743145747,0.46624885755320533,0.4694311536416799,0.08230152949745084
45,2445,63,0.19047619047619047,0.19556650246305418,0.5036687631027253,0.41421568627450983,0.056110458284371445
46,2466,63,0.1111111111111111,0.12114695340501791,0.6836158192090395,0.3811802232854864,0.03921568627450989
47,2487,63,0.06349206349206349,0.06471734892787524,0.047619047619047616,0.26143790849673204,-0.06626506024096379
48,2508,63,0.5079365079365079,0.2633744855967078,0.2962962962962963,0.23703703703703705,0.14901960784313728
49,2529,63,0.6190476190476191,0.37291280148423,0.30246913580246915,0.6136363636363636,0.040000000000000036
50,2550,63,0.6984126984126984,0.3146825396825397,0.328774062816616,0.41379310344827586,0.00992555831265507
51,2571,63,0.6666666666666666,0.42961876832844575,0.4166666666666667,0.47853535353535354,0.27187671986791406
52,2592,63,0.5873015873015873,0.41795267489711935,0.3896940418679549,0.5407407407407407,0.2222222222222221
53,2613,63,0.5238095238095238,0.4646200106697706,0.7190775681341718,0.5674603174603176,0.23851732473811438
54,2634,63,0.3968253968253968,0.3151154401154401,0.5585185185185185,0.5777777777777778,0.130718954248366
55,2655,63,0.25396825396825395,0.22278268179907526,0.40277777777777773,0.46141793967880923,-0.01962809917355357
56,2676,63,0.2222222222222222,0.30730808473053434,0.5023148148148148,0.41333333333333333,0.04456824512534818
