strategy,total_return,annual_return,max_drawdown,calmar_ratio,sharpe_ratio,final_capital,n_windows
v0_buy_hold,0.639031963325672,0.27809702013256143,0.7845598093143015,0.3544624855817807,1.6298128718528868,16390.31963325672,36
v1_kappa_dir_thr_0,0.2763376682045098,0.1288139456307369,0.6233102782381511,0.20666103240616585,1.497388789884505,12763.376682045098,36
v1_kappa_dir_thr_0.1,0.29104231406300607,0.13525360509994688,0.6233102782381511,0.21699241902532956,1.0252569019478661,12910.42314063006,36
v2_kappa_strength_20-80,0.3091225268853188,0.14312113882674016,0.598390834712027,0.2391766893817799,1.0643272507268244,13091.225268853188,36
v2_kappa_strength_30-70,0.3729234619676758,0.1704556936761472,0.5701866445644334,0.2989471873310255,1.2427325860997438,13729.234619676758,36
v3_threshold_adjusted,0.37023694572393095,0.16931775802011262,0.5534787203664479,0.30591556957676524,1.313980207155996,13702.369457239309,36
