train_end,kappa,accuracy,f1
1500,0.015311004784688942,0.2222222222222222,0.07547169811320754
1521,0.06811145510835903,0.31746031746031744,0.3384615384615385
1542,0.03140333660451411,0.25396825396825395,0.3380281690140845
1563,0.04149377593360981,0.30158730158730157,0.15384615384615385
1584,0.6754436176302232,0.8571428571428571,0.8941176470588236
1605,0.27385892116182575,0.6031746031746031,0.6835443037974683
1626,0.24486301369863006,0.5555555555555556,0.6111111111111112
1647,0.08501594048884165,0.3492063492063492,0.36923076923076925
1668,0.1377483443708608,0.5079365079365079,0.6265060240963856
1689,0.2574257425742573,0.6031746031746031,0.6268656716417911
1710,-0.033783783783783994,0.4603174603174603,0.5641025641025641
1731,-0.3817427385892116,0.4126984126984127,0.5842696629213483
1752,0.0,0.6031746031746031,0.7524752475247525
1773,0.27385892116182575,0.6031746031746031,0.6835443037974683
1794,0.03472931562819215,0.5238095238095238,0.16666666666666666
1815,0.06510292005744378,0.5079365079365079,0.4745762711864407
1836,-0.009009009009008917,0.49206349206349204,0.5151515151515151
1857,0.051894135962636256,0.5396825396825397,0.6233766233766234
1878,0.20414350682162707,0.6031746031746031,0.5614035087719298
1899,0.16393442622950827,0.4603174603174603,0.46875
1920,0.047337278106509006,0.2698412698412698,0.28125
