,total_return,cagr,vol,sharpe,sortino,max_drawdown,calmar,exposure,num_trades
无regime过滤 (纯止盈),1.1415184974029322,0.2720782439787426,0.2719806400629094,1.0195395823913926,0.8751478421542329,-0.24678244585038778,1.102502420871906,0.30303030303030304,20.0
老regime (63d≤-10%),0.8358396840802749,0.21164766767248855,0.21019854343195418,1.0174985657056688,0.6944010541420671,-0.12482290277209185,1.6955836066312757,0.19047619047619047,31.0
新regime (risk_off),0.5077517797382496,0.13855842289526787,0.21741164877025926,0.7049390934987487,0.45655404650155,-0.22434611696687146,0.6176100784295205,0.19567099567099566,18.0
新regime (risk_off+neutral),0.311935027444334,0.08958806445636092,0.16999274185122173,0.5892905324274803,0.30879693680566317,-0.1724774593320415,0.5194189710546018,0.13593073593073593,15.0
买入持有 (B&H),3.616804679865038,0.6215988146701286,0.47238815550751595,1.2587566311365486,1.9075676482504993,-0.3202251526449773,1.941130512503101,1.0,1.0
