date,close,legacy_bear,trend,drawdown,vol_pctile,multidim_regime
2018-01-01,13380.0,0,,,,1
2018-01-02,14675.11,0,,,,1
2018-01-03,14919.51,0,,,,1
2018-01-04,15059.54,0,,,,1
2018-01-05,16960.39,0,,,,1
2018-01-06,17069.79,0,,,,1
2018-01-07,16150.03,0,,,,1
2018-01-08,14902.54,0,,,,1
2018-01-09,14400.0,0,,,,1
2018-01-10,14907.09,0,,,,1
2018-01-11,13238.78,0,,,,1
2018-01-12,13740.01,0,,,,1
2018-01-13,14210.0,0,,,,1
2018-01-14,13474.99,0,,,,1
2018-01-15,13539.93,0,,,,1
2018-01-16,10900.0,0,,,,1
2018-01-17,10988.79,0,,,,1
2018-01-18,10961.97,0,,,,1
2018-01-19,11474.98,0,,,,1
2018-01-20,12799.94,0,,,,1
2018-01-21,11530.0,0,,,,1
2018-01-22,10760.05,0,,,,1
2018-01-23,10799.18,0,,,,1
2018-01-24,11349.99,0,,,,1
2018-01-25,11175.27,0,,,,1
2018-01-26,11089.0,0,,,,1
2018-01-27,11491.0,0,,,,1
2018-01-28,11879.95,0,,,,1
2018-01-29,11251.0,0,,,,1
2018-01-30,10237.51,0,,,,1
2018-01-31,10285.1,0,,,,1
2018-02-01,9224.52,0,,,,1
2018-02-02,8873.03,0,,,,1
2018-02-03,9199.96,0,,,,1
2018-02-04,8184.81,0,,,,1
2018-02-05,6939.99,0,,,,1
2018-02-06,7652.14,0,,,,1
2018-02-07,7599.0,0,,,,1
2018-02-08,7784.02,0,,,,1
2018-02-09,8683.92,0,,,,1
2018-02-10,8533.98,0,,,,1
2018-02-11,8063.88,0,,,,1
2018-02-12,8903.0,0,,,,1
2018-02-13,8539.9,0,,,,1
2018-02-14,9449.99,0,,,,1
2018-02-15,10000.09,0,,,,1
2018-02-16,10159.98,0,,,,1
2018-02-17,11039.55,0,,,,1
2018-02-18,10383.43,0,,,,1
2018-02-19,11153.0,0,,,,1
2018-02-20,11200.99,0,,,,1
2018-02-21,10437.6,0,,,,1
2018-02-22,9811.04,0,,,,1
2018-02-23,10131.04,0,,,,1
2018-02-24,9694.51,0,,,,1
2018-02-25,9590.0,0,,,,1
2018-02-26,10324.0,0,,,,1
2018-02-27,10569.04,0,,,,1
2018-02-28,10326.76,0,,,,1
2018-03-01,10920.0,0,,,,1
2018-03-02,11039.0,0,,,,1
2018-03-03,11464.48,0,,,,1
2018-03-04,11515.0,0,,,,1
2018-03-05,11454.0,1,,,,1
2018-03-06,10716.48,1,,,,1
2018-03-07,9910.0,1,,,,1
2018-03-08,9271.64,1,,,,1
2018-03-09,9227.0,1,,,,1
2018-03-10,8770.22,1,,,,1
2018-03-11,9533.57,1,,,,1
2018-03-12,9131.34,1,,,,1
2018-03-13,9150.0,1,,,,1
2018-03-14,8170.0,1,,,,1
2018-03-15,8240.98,1,,,,1
2018-03-16,8260.0,1,,,,1
2018-03-17,7824.8,1,,,,1
2018-03-18,8189.99,1,,,,1
2018-03-19,8600.0,1,,,,1
2018-03-20,8909.98,1,,,,1
2018-03-21,8885.0,1,,,0.0379746835443038,1
2018-03-22,8722.9,1,,,0.0375,1
2018-03-23,8898.03,1,,,0.024691358024691357,1
2018-03-24,8546.86,1,,,0.036585365853658534,1
2018-03-25,8470.15,1,,,0.03614457831325301,1
2018-03-26,8134.23,1,,,0.0,1
2018-03-27,7795.51,1,,,0.0,1
2018-03-28,7949.3,1,,,0.0,1
2018-03-29,7090.14,1,,,0.16091954022988506,1
2018-03-30,6840.23,1,,,0.125,1
2018-03-31,6923.91,1,,-0.5943763807287612,0.0,1
2018-04-01,6813.01,1,,-0.6008732386280089,0.0,1
2018-04-02,7056.0,1,,-0.5866381484482235,0.03296703296703297,1
2018-04-03,7405.21,1,,-0.5661803689441991,0.0,1
2018-04-04,6796.1,1,,-0.6018638776458293,0.03225806451612903,1
2018-04-05,6770.76,1,,-0.6033483715968386,0.031914893617021274,1
2018-04-06,6601.39,1,,-0.5912459605338194,0.010526315789473684,1
2018-04-07,6895.8,1,,-0.5374147469425623,0.010416666666666666,1
2018-04-08,7018.0,1,,-0.5292173053225009,0.010309278350515464,1
2018-04-09,6782.72,0,,-0.5450003991389332,0.0,1
2018-04-10,6843.9,1,,-0.5183743842364532,0.010101010101010102,1
