train_end,kappa,accuracy,f1
800,0.47058823529411764,0.746031746031746,0.7948717948717948
821,0.2172112287160608,0.5714285714285714,0.6197183098591549
842,0.069620253164557,0.5555555555555556,0.7021276595744681
863,-0.10647639956092214,0.49206349206349204,0.6097560975609756
884,0.07288016818500354,0.3333333333333333,0.27586206896551724
905,0.16393442622950827,0.4603174603174603,0.45161290322580644
926,0.2894736842105263,0.6190476190476191,0.7
947,0.08797327394209353,0.5873015873015873,0.6904761904761905
968,-0.22543640897755624,0.38095238095238093,0.5301204819277109
989,0.0,0.31746031746031744,0.4819277108433735
1010,-0.1212121212121211,0.4126984126984127,0.463768115942029
1031,0.0,0.5873015873015873,0.0
1052,0.09523809523809523,0.6984126984126984,0.24
1073,0.38356164383561653,0.7619047619047619,0.5161290322580645
1094,0.5939514129895885,0.7936507936507936,0.7796610169491526
1115,0.2595494613124387,0.6190476190476191,0.6666666666666666
1136,-0.010695187165775444,0.38095238095238093,0.4935064935064935
1157,0.024767801857585092,0.20634920634920634,0.24242424242424243
1178,0.7731092436974789,0.9523809523809523,0.972972972972973
1199,0.0,0.8412698412698413,0.9137931034482759
1220,0.10849056603773577,0.7142857142857143,0.8269230769230769
1241,0.24701195219123506,0.8095238095238095,0.8888888888888888
1262,-0.02717391304347827,0.6190476190476191,0.75
1283,0.016155088852988664,0.5396825396825397,0.6813186813186813
1304,-0.08450704225352101,0.47619047619047616,0.56
1325,0.052156469408224715,0.5238095238095238,0.5833333333333334
1346,-0.182648401826484,0.4126984126984127,0.3508771929824561
1367,0.037117903930131146,0.5555555555555556,0.06666666666666667
1388,0.3457943925233644,0.6825396825396826,0.5238095238095238
1409,0.5097276264591439,0.746031746031746,0.75
1430,0.42622950819672134,0.7619047619047619,0.8387096774193549
1451,0.054570259208731375,0.6507936507936508,0.7843137254901961
1472,0.5945945945945945,0.8412698412698413,0.8936170212765957
1493,0.26056338028169024,0.6825396825396826,0.7727272727272727
1514,0.1216730038022813,0.47619047619047616,0.5714285714285714
1535,-0.008537886872998834,0.2857142857142857,0.4155844155844156
1556,-0.13050570962479613,0.6507936507936508,0.7843137254901961
1577,0.0,0.746031746031746,0.8545454545454545
1598,0.0,0.5238095238095238,0.6875
1619,0.025908900961136738,0.4126984126984127,0.5066666666666667
1640,0.010030090270812586,0.25396825396825395,0.38961038961038963
1661,0.013833272661084917,0.31746031746031744,0.4691358024691358
1682,0.06738131699846861,0.5396825396825397,0.6027397260273972
1703,-0.06299212598425208,0.2857142857142857,0.26229508196721313
1724,0.06918918918918926,0.3492063492063492,0.22641509433962265
1745,0.0459899046550758,0.5714285714285714,0.6823529411764706
1766,0.051118210862619584,0.47619047619047616,0.6292134831460674
1787,0.16598778004073322,0.5873015873015873,0.38095238095238093
1808,0.43115124153498874,0.746031746031746,0.6190476190476191
1829,0.08891269416175673,0.5714285714285714,0.2702702702702703
1850,0.4631578947368421,0.7301587301587301,0.7384615384615385
1871,0.40120060030015003,0.6984126984126984,0.6122448979591837
1892,0.3345070422535211,0.6190476190476191,0.625
1913,0.04255319148936154,0.36507936507936506,0.3548387096774194
1934,0.02547770700636931,0.4603174603174603,0.6222222222222222
1955,0.29282576866764276,0.6349206349206349,0.7228915662650602
1976,-0.1311053984575834,0.5454545454545454,0.7058823529411765
1997,0.0,0.2608695652173913,0.41379310344827586
