date,close,prob,position_size,dip_triggered,current_position,entry_price,days_in_position,action
2025-11-01,110098.1,0.5845349299757029,0.16906985995140578,False,0.0,,0,hold
2025-11-02,110540.68,0.5631046663088183,0.12620933261763656,False,0.0,,0,hold
2025-11-01,110098.1,0.4911832986426316,0.0,False,0.0,,0,hold
2025-11-02,110540.68,0.48774258019073696,0.0,False,0.0,,0,hold
2025-11-03,106583.04,0.14910374952608133,0.0,False,0.0,,0,hold
2025-11-04,101497.22,0.17441757252096074,0.0,False,0.0,,0,hold
2025-11-05,103885.16,0.1542991271235718,0.0,False,0.0,,0,hold
2025-11-06,101346.04,0.1832349055512176,0.0,False,0.0,,0,hold
2025-11-07,103339.08,0.21113504142177514,0.0,False,0.0,,0,hold
2025-11-08,102312.94,0.1892369297755142,0.0,False,0.0,,0,hold
2025-11-09,104722.96,0.5744227265865659,0.1488454531731318,False,0.0,,0,hold
2025-11-10,106011.13,0.6533009566031192,0.3066019132062383,False,0.0,,0,hold
2025-11-11,103058.99,0.2838148493015836,0.0,False,0.0,,0,hold
2025-11-12,101654.37,0.25056410093108716,0.0,False,0.0,,0,hold
2025-11-13,99692.02,0.25864702699773284,0.0,False,0.0,,0,hold
2025-11-14,94594.0,0.24511728873498953,0.0,True,0.0,,0,hold
2025-11-15,95596.24,0.20692347755847773,0.0,False,0.0,,0,hold
2025-11-16,94261.44,0.2278113557476008,0.0,False,0.0,,0,hold
2025-11-17,92215.14,0.2879051084691432,0.0,False,0.0,,0,hold
2025-11-18,92960.83,0.2553608616686108,0.0,False,0.0,,0,hold
2025-11-19,91554.96,0.23008774842708982,0.0,False,0.0,,0,hold
2025-11-20,86637.23,0.2705444010452811,0.0,True,0.0,,0,hold
2025-11-21,85129.43,0.5442720865486097,0.0885441730972194,False,0.0,,0,hold
2025-11-22,84739.74,0.3411545922163813,0.0,False,0.0,,0,hold
2025-11-23,86830.0,0.6571759547261274,0.3143519094522549,False,0.0,,0,hold
2025-11-01,110098.1,0.5713507312307489,0.14270146246149773,False,0.0,,0,hold
2025-11-02,110540.68,0.5240639123690672,0.048127824738134484,False,0.0,,0,hold
