date,strategy_equity,position
2022-09-26,1.0,1.0
2022-09-27,0.991266934057007,0.0
2022-09-28,0.991266934057007,0.0
2022-09-29,0.991266934057007,0.0
2022-09-30,0.991266934057007,0.0
2022-10-01,0.991266934057007,0.0
2022-10-02,0.991266934057007,0.0
2022-10-03,0.991266934057007,0.0
2022-10-04,0.991266934057007,0.0
2022-10-05,0.991266934057007,0.0
2022-10-06,0.991266934057007,0.0
2022-10-07,0.991266934057007,0.0
2022-10-08,0.991266934057007,0.0
2022-10-09,0.991266934057007,0.0
2022-10-10,0.991266934057007,0.0
2022-10-11,0.991266934057007,0.0
2022-10-12,0.991266934057007,0.0
2022-10-13,0.991266934057007,0.0
2022-10-14,0.991266934057007,0.0
2022-10-15,0.991266934057007,0.0
2022-10-16,0.991266934057007,0.0
2022-10-17,0.991266934057007,0.0
2022-10-18,0.991266934057007,0.0
2022-10-19,0.991266934057007,0.0
2022-10-20,0.991266934057007,0.0
2022-10-21,0.991266934057007,0.0
2022-10-22,0.991266934057007,0.0
2022-10-23,0.991266934057007,0.0
2022-10-24,0.991266934057007,0.0
2022-10-25,0.991266934057007,0.0
2022-10-26,0.991266934057007,0.0
2022-10-27,0.991266934057007,0.0
2022-10-28,0.991266934057007,0.0
2022-10-29,0.991266934057007,0.0
2022-10-30,0.991266934057007,0.0
2022-10-31,0.991266934057007,0.0
2022-11-01,0.991266934057007,0.0
2022-11-02,0.991266934057007,0.0
2022-11-03,0.991266934057007,0.0
2022-11-04,0.991266934057007,0.0
2022-11-05,0.991266934057007,0.0
2022-11-06,0.991266934057007,0.0
2022-11-07,0.991266934057007,0.0
2022-11-08,0.991266934057007,0.0
2022-11-09,0.991266934057007,0.0
2022-11-10,0.991266934057007,0.0
2022-11-11,0.991266934057007,0.0
2022-11-12,0.991266934057007,0.0
2022-11-13,0.991266934057007,0.0
2022-11-14,0.991266934057007,0.0
2022-11-15,0.991266934057007,0.0
2022-11-16,0.991266934057007,0.0
2022-11-17,0.991266934057007,0.0
2022-11-18,0.991266934057007,0.0
2022-11-19,0.991266934057007,0.0
2022-11-20,0.991266934057007,0.0
2022-11-21,0.991266934057007,0.0
2022-11-22,0.991266934057007,0.0
2022-11-23,0.991266934057007,0.0
2022-11-24,0.991266934057007,0.0
2022-11-25,0.991266934057007,0.0
2022-11-26,0.991266934057007,0.0
2022-11-27,0.991266934057007,0.0
2022-11-28,0.991266934057007,0.0
2022-11-29,0.991266934057007,0.0
2022-11-30,0.991266934057007,0.0
2022-12-01,0.991266934057007,0.0
