date,value
2012-03-23,-0.0615068001
2012-03-24,-0.0700731543
2012-03-25,-0.0941894361
2012-03-26,-0.07295516
2012-03-27,-0.0272979915
2012-03-28,-0.0326646649
2012-03-29,-0.0310137378
2012-03-30,0.0047534349
2012-03-31,0.0118478706
2012-04-01,-0.0127377473
2012-04-02,0.0358060261
2012-04-03,0.032770515
2012-04-04,0.0228112249
2012-04-05,0.0233004887
2012-04-06,0.0299949752
2012-04-07,-0.0316053983
2012-04-08,-0.0134606718
2012-04-09,0.0046233139
2012-04-10,0.0020239863
2012-04-11,0.0208277305
2012-04-12,0.0163136846
2012-04-13,0.0246068949
2012-04-14,0.0300058764
2012-04-15,0.030669637
2012-04-16,0.0272493964
2012-04-17,0.0317734413
2012-04-18,0.071702934
2012-04-19,0.0725966499
2012-04-20,0.1325792255
2012-04-21,0.1102564658
2012-04-22,0.08625279
2012-04-23,0.0653969143
2012-04-24,0.0593115928
2012-04-25,0.0690065054
2012-04-26,0.0571137748
2012-04-27,0.0567644843
2012-04-28,0.0239530556
2012-04-29,0.0087067617
2012-04-30,0.0203148802
2012-05-01,0.0324518526
2012-05-02,0.0502295621
2012-05-03,0.0675419066
2012-05-04,0.0585511559
2012-05-05,0.0507846569
2012-05-06,0.0516588059
2012-05-07,0.0571107513
2012-05-08,0.0455488266
2012-05-09,0.0502768962
2012-05-10,0.0196858187
2012-05-11,0.0302734056
2012-05-12,0.0220429122
2012-05-13,0.0230192859
2012-05-14,0.0418820236
2012-05-15,0.0480670355
2012-05-16,0.0640516315
2012-05-17,0.066354036
2012-05-18,0.0766121419
2012-05-19,0.0750673038
2012-05-20,0.0752963332
2012-05-21,0.0791482035
2012-05-22,0.0784464003
2012-05-23,0.0890893182
2012-05-24,0.0901915477
2012-05-25,0.0951175577
2012-05-26,0.0897828553
2012-05-27,0.0980085436
2012-05-28,0.0985806163
2012-05-29,0.102036184
2012-05-30,0.0993574644
2012-05-31,0.1178750216
2012-06-01,0.1409891052
2012-06-02,0.1342352357
2012-06-03,0.1255997262
2012-06-04,0.1383322962
2012-06-05,0.1842345278
2012-06-06,0.1890665162
2012-06-07,0.2273670795
2012-06-08,0.2360095172
2012-06-09,0.2170470856
2012-06-10,0.188952134
2012-06-11,0.224116703
2012-06-12,0.2621420917
2012-06-13,0.3119220363
2012-06-14,0.3263416869
2012-06-15,0.4800938001
2012-06-16,0.455114649
2012-06-17,0.3839250106
2012-06-18,0.4147731676
2012-06-19,0.4660588923
2012-06-20,0.5223274533
2012-06-21,0.5144945427
2012-06-22,0.4814477649
2012-06-23,0.4471300107
2012-06-24,0.4193117914
2012-06-25,0.4101167282
2012-06-26,0.4415122464
2012-06-27,0.4925382714
2012-06-28,0.4841391286
2012-06-29,0.5029899905
2012-06-30,0.508555011
2012-07-01,0.492621827
2012-07-02,0.5246947989
2012-07-03,0.4402646224
2012-07-04,0.4579679265
2012-07-05,0.4941671315
2012-07-06,0.501763513
2012-07-07,0.5427785395
2012-07-08,0.5377046963
2012-07-09,0.6041642813
2012-07-10,0.6602633529
2012-07-11,0.6591915819
2012-07-12,0.7638523933
2012-07-13,0.7808737332
2012-07-14,0.7760861776
2012-07-15,0.7883779717
2012-07-16,1.0309288081
2012-07-17,1.0882239897
2012-07-18,1.1796437132
2012-07-19,1.1088333441
2012-07-20,1.0055155986
2012-07-21,1.0999372571
2012-07-22,0.9902453445
2012-07-23,0.9952609767
2012-07-24,1.0050395662
2012-07-25,1.0580192561
2012-07-26,1.0827117946
2012-07-27,1.0833457568
2012-07-28,1.0655416648
2012-07-29,1.0340747587
2012-07-30,1.1291694369
2012-07-31,1.1886548864
2012-08-01,1.25342029
2012-08-02,1.5210405629
2012-08-03,1.6142471442
2012-08-04,1.6042383859
2012-08-05,1.5610772356
2012-08-06,1.5707291422
2012-08-07,1.5846810343
2012-08-08,1.6096635855
2012-08-09,1.6109458494
2012-08-10,1.7003650506
2012-08-11,1.7189969322
2012-08-12,1.7255765084
2012-08-13,1.8244030856
2012-08-14,1.8682112221
2012-08-15,2.1280839292
2012-08-16,2.1849623943
2012-08-17,1.7815742029
2012-08-18,1.6169194712
2012-08-19,0.5948441421
2012-08-20,1.1804339241
2012-08-21,1.1569733995
2012-08-22,1.117123024
2012-08-23,1.2020337766
2012-08-24,1.3355104818
2012-08-25,1.32652504
2012-08-26,1.3119516721
2012-08-27,1.3918089132
2012-08-28,1.392840672
2012-08-29,1.3706716525
2012-08-30,1.3291906368
2012-08-31,1.1399610461
2012-09-01,1.1142940327
2012-09-02,1.1728500374
2012-09-03,1.2446751901
2012-09-04,1.2035272606
2012-09-05,1.3786104217
2012-09-06,1.4096985344
2012-09-07,1.3824106681
2012-09-08,1.368796818
2012-09-09,1.3678434914
2012-09-10,1.3575054021
2012-09-11,1.391688219
2012-09-12,1.3988410012
2012-09-13,1.4116351119
2012-09-14,1.5004108693
2012-09-15,1.4891807519
2012-09-16,1.5272572196
2012-09-17,1.5257781387
2012-09-18,1.6114972118
2012-09-19,1.6649562642
2012-09-20,1.6133762543
2012-09-21,1.5950976304
2012-09-22,1.556074963
2012-09-23,1.5376856962
2012-09-24,1.5173364641
2012-09-25,1.5284951237
2012-09-26,1.5577074569
2012-09-27,1.5497165519
2012-09-28,1.5559751612
2012-09-29,1.5547912234
2012-09-30,1.5451885591
2012-10-01,1.538731789
2012-10-02,1.638836104
2012-10-03,1.6666995337
2012-10-04,1.6331731482
2012-10-05,1.5987568739
2012-10-06,1.5296279646
2012-10-07,1.3622747825
2012-10-08,1.3208350352
2012-10-09,1.3446131425
2012-10-10,1.4137033009
2012-10-11,1.3992213108
2012-10-12,1.3854284893
2012-10-13,1.3565399654
2012-10-14,1.2820508548
2012-10-15,1.3452663856
2012-10-16,1.3258686584
2012-10-17,1.3375890409
2012-10-18,1.3353052199
2012-10-19,1.288986843
2012-10-20,1.2708687489
2012-10-21,1.254781008
2012-10-22,1.2738441995
2012-10-23,1.2626183255
2012-10-24,1.240389876
2012-10-25,1.0145587046
2012-10-26,0.8577346634
2012-10-27,0.9436247096
2012-10-28,1.0075906348
2012-10-29,0.9863391005
2012-10-30,1.0436248353
2012-10-31,1.113227253
2012-11-01,0.978038337
2012-11-02,0.9581371319
2012-11-03,0.9881201529
2012-11-04,1.022345613
2012-11-05,1.0068488779
2012-11-06,1.0377896896
2012-11-07,1.0570061338
2012-11-08,1.0397216544
2012-11-09,1.0189331226
2012-11-10,1.0297664198
2012-11-11,1.0224813236
2012-11-12,1.0672325059
2012-11-13,1.0559141456
2012-11-14,1.0441542382
2012-11-15,1.096020314
2012-11-16,1.2232358731
2012-11-17,1.230712555
2012-11-18,1.2053518557
2012-11-19,1.2229605548
2012-11-20,1.2070544704
2012-11-21,1.2111107629
2012-11-22,1.347703168
2012-11-23,1.3385757347
2012-11-24,1.3677981885
2012-11-25,1.3910508353
2012-11-26,1.2987462092
2012-11-27,1.288973251
2012-11-28,1.327607101
2012-11-29,1.3646709097
2012-11-30,1.3806957776
2012-12-01,1.378201198
2012-12-02,1.3512323634
2012-12-03,1.3855977878
2012-12-04,1.5455798865
2012-12-05,1.5215024467
2012-12-06,1.555071878
2012-12-07,1.5451319352
2012-12-08,1.5452743432
2012-12-09,1.5010775746
2012-12-10,1.5304658764
