date,value
2013-09-18,-0.0083
2013-09-19,-0.0187
2013-09-20,-0.0166
2013-09-21,-0.0222
2013-09-22,-0.0224
2013-09-23,-0.0138
2013-09-24,-0.0142
2013-09-25,-0.0024
2013-09-26,0.0138
2013-09-27,0.0174
2013-09-28,0.0179
2013-09-29,0.0118
2013-09-30,0.0195
2013-10-01,-0.1904
2013-10-02,-0.0585
2013-10-03,-0.0213
2013-10-04,-0.033
2013-10-05,-0.0268
2013-10-06,-0.0186
2013-10-07,-0.0098
2013-10-08,-0.0038
2013-10-09,0.0038
2013-10-10,0.0062
2013-10-11,0.0093
2013-10-12,0.0445
2013-10-13,0.0629
2013-10-14,0.0993
2013-10-15,0.0721
2013-10-16,0.1022
2013-10-17,0.1467
2013-10-18,0.2073
2013-10-19,0.2016
2013-10-20,0.2524
2013-10-21,0.2791
2013-10-22,0.304
2013-10-23,0.2624
2013-10-24,0.2023
2013-10-25,0.1745
2013-10-26,0.2304
2013-10-27,0.2323
2013-10-28,0.2493
2013-10-29,0.2183
2013-10-30,0.2347
2013-10-31,0.2294
2013-11-01,0.2319
2013-11-02,0.2511
2013-11-03,0.2941
2013-11-04,0.3231
2013-11-05,0.3633
2013-11-06,0.3925
2013-11-07,0.4473
2013-11-08,0.4282
2013-11-09,0.4154
2013-11-10,0.4306
2013-11-11,0.436
2013-11-12,0.476
2013-11-13,0.487
2013-11-14,0.4629
2013-11-15,0.4854
2013-11-16,0.5245
2013-11-17,0.625
2013-11-18,0.5149
2013-11-19,0.5423
2013-11-20,0.6073
2013-11-21,0.6104
2013-11-22,0.5969
2013-11-23,0.5714
2013-11-24,0.561
2013-11-25,0.5699
2013-11-26,0.5679
2013-11-27,0.5592
2013-11-28,0.5793
2013-11-29,0.5628
2013-11-30,0.4866
2013-12-01,0.516
2013-12-02,0.5118
2013-12-03,0.5366
2013-12-04,0.4807
2013-12-05,0.3458
2013-12-06,0.2295
2013-12-07,0.3054
2013-12-08,0.3893
2013-12-09,0.4352
2013-12-10,0.3611
2013-12-11,0.3551
2013-12-12,0.3529
2013-12-13,0.3303
2013-12-14,0.3389
2013-12-15,0.1557
2013-12-16,0.1614
2013-12-17,-0.0798
2013-12-18,0.1699
2013-12-19,0.051
2013-12-20,0.0479
2013-12-21,0.0868
2013-12-22,0.1436
2013-12-23,0.1238
2013-12-24,0.1533
2013-12-25,0.231
2013-12-26,0.1991
2013-12-27,0.19
2013-12-28,0.2009
2013-12-29,0.2097
2013-12-30,0.2018
2013-12-31,0.2244
2014-01-01,0.2538
2014-01-02,0.2713
2014-01-03,0.2816
2014-01-04,0.3347
2014-01-05,0.3389
2014-01-06,0.2435
2014-01-07,0.2531
2014-01-08,0.2597
2014-01-09,0.2776
2014-01-10,0.3034
2014-01-11,0.2612
2014-01-12,0.2393
2014-01-13,0.2248
2014-01-14,0.243
2014-01-15,0.2158
2014-01-16,0.1905
2014-01-17,0.2057
2014-01-18,0.2309
2014-01-19,0.2188
2014-01-20,0.2077
2014-01-21,0.2003
2014-01-22,0.19
2014-01-23,0.1594
2014-01-24,0.1817
2014-01-25,0.19
2014-01-26,0.1105
2014-01-27,0.1615
2014-01-28,0.1631
2014-01-29,0.1679
2014-01-30,0.1699
2014-01-31,0.1757
2014-02-01,0.1725
2014-02-02,0.1644
2014-02-03,0.1562
2014-02-04,0.1304
2014-02-05,0.1062
2014-02-06,0.0437
2014-02-07,-0.0038
2014-02-08,0.0112
2014-02-09,0.0117
2014-02-10,-0.0098
2014-02-11,-0.0396
2014-02-12,-0.1091
2014-02-13,-0.0145
2014-02-14,-0.0379
2014-02-15,-0.087
2014-02-16,-0.0728
2014-02-17,-0.0785
2014-02-18,-0.0843
2014-02-19,-0.1973
2014-02-20,-0.1666
2014-02-21,-0.1136
2014-02-22,-0.1083
2014-02-23,-0.2407
2014-02-24,-0.2464
2014-02-25,-0.134
2014-02-26,-0.1355
2014-02-27,-0.206
2014-02-28,-0.1687
2014-03-01,-0.1832
2014-03-02,0.024
2014-03-03,0.0215
2014-03-04,0.0159
2014-03-05,0.0069
2014-03-06,-0.0467
2014-03-07,-0.064
2014-03-08,-0.0316
2014-03-09,-0.0514
2014-03-10,-0.0492
2014-03-11,-0.0479
2014-03-12,-0.0347
2014-03-13,-0.0596
2014-03-14,-0.0477
2014-03-15,-0.051
2014-03-16,-0.0701
2014-03-17,-0.0847
2014-03-18,-0.0919
2014-03-19,-0.1352
2014-03-20,-0.1667
2014-03-21,-0.1778
2014-03-22,-0.1909
2014-03-23,-0.1374
2014-03-24,-0.1399
2014-03-25,-0.1506
2014-03-26,-0.3889
2014-03-27,-0.3444
2014-03-28,-0.3925
2014-03-29,-0.4956
2014-03-30,-0.5025
2014-03-31,-0.4258
2014-04-01,-0.5559
2014-04-02,-0.5158
2014-04-03,-0.5144
2014-04-04,-0.4689
2014-04-05,-0.4775
2014-04-06,-0.5102
2014-04-07,-0.4978
2014-04-08,-0.5314
2014-04-09,-0.8388
2014-04-10,-0.5963
2014-04-11,-0.5907
2014-04-12,-0.6236
2014-04-13,-0.4685
2014-04-14,-0.3006
2014-04-15,-0.2779
2014-04-16,-0.3606
2014-04-17,-0.4097
2014-04-18,-0.3522
2014-04-19,-0.36
2014-04-20,-0.3706
2014-04-21,-0.3935
2014-04-22,-0.3893
2014-04-23,-0.3553
2014-04-24,-0.4598
2014-04-25,-0.4805
2014-04-26,-0.543
2014-04-27,-0.5285
2014-04-28,-0.5023
2014-04-29,-0.4843
2014-04-30,-0.4408
2014-05-01,-0.4576
2014-05-02,-0.4913
2014-05-03,-0.4935
2014-05-04,-0.5022
2014-05-05,-0.5023
2014-05-06,-0.4522
2014-05-07,-0.4509
2014-05-08,-0.4043
2014-05-09,-0.3867
2014-05-10,-0.4398
2014-05-11,-0.4299
2014-05-12,-0.4329
2014-05-13,-0.4063
2014-05-14,-0.3959
2014-05-15,-0.3853
2014-05-16,-0.3806
2014-05-17,-0.3846
2014-05-18,-0.3799
2014-05-19,-0.2532
2014-05-20,-0.2434
2014-05-21,-0.1679
2014-05-22,-0.176
2014-05-23,-0.1664
2014-05-24,-0.0741
2014-05-25,-0.0541
2014-05-26,-0.0735
2014-05-27,-0.0637
2014-05-28,-0.075
2014-05-29,0.0067
2014-05-30,0.0176
2014-05-31,0.0187
2014-06-01,0.0645
2014-06-02,0.075
2014-06-03,0.0339
2014-06-04,0.0577
2014-06-05,0.0393
2014-06-06,0.05
2014-06-07,0.0517
2014-06-08,0.038
2014-06-09,0.042
2014-06-10,0.0134
2014-06-11,-0.0495
2014-06-12,-0.0395
2014-06-13,-0.0765
2014-06-14,-0.0474
2014-06-15,-0.0438
2014-06-16,-0.0104
2014-06-17,-0.0073
2014-06-18,-0.0241
2014-06-19,-0.0292
2014-06-20,-0.0261
2014-06-21,-0.014
2014-06-22,-0.0309
2014-06-23,-0.0458
2014-06-24,-0.0755
2014-06-25,-0.0382
2014-06-26,-0.003
2014-06-27,-0.0125
2014-06-28,-0.0009
2014-06-29,0.0581
2014-06-30,0.0637
2014-07-01,0.0743
2014-07-02,0.0679
2014-07-03,0.0456
2014-07-04,0.0461
2014-07-05,0.053
2014-07-06,0.037
2014-07-07,0.041
2014-07-08,0.0375
2014-07-09,0.04
2014-07-10,0.0716
2014-07-11,0.076
2014-07-12,0.0662
2014-07-13,0.0505
2014-07-14,0.055
2014-07-15,0.0475
2014-07-16,0.06
2014-07-17,0.0698
2014-07-18,0.0673
2014-07-19,0.0615
2014-07-20,0.0542
2014-07-21,0.0522
2014-07-22,0.0527
2014-07-23,0.0272
2014-07-24,0.0252
2014-07-25,0.014
2014-07-26,0.0091
2014-07-27,0.0035
2014-07-28,-0.0019
2014-07-29,-0.0409
2014-07-30,-0.0068
2014-07-31,0.0158
2014-08-01,0.0053
2014-08-02,0.0014
2014-08-03,0.0023
2014-08-04,-0.0069
2014-08-05,-0.0036
2014-08-06,0.0044
2014-08-07,0.0105
2014-08-08,0.0109
2014-08-09,0.0114
2014-08-10,-0.0155
2014-08-11,-0.0237
2014-08-12,-0.0585
2014-08-13,-0.1423
2014-08-14,-0.1496
2014-08-15,-0.1008
2014-08-16,-0.1492
2014-08-17,-0.2107
2014-08-18,-0.1642
2014-08-19,-0.0994
2014-08-20,-0.0894
2014-08-21,-0.0948
2014-08-22,-0.1329
2014-08-23,-0.1075
2014-08-24,-0.1207
2014-08-25,-0.0977
2014-08-26,-0.1012
2014-08-27,-0.0992
2014-08-28,-0.0932
2014-08-29,-0.1098
2014-08-30,-0.1615
2014-08-31,-0.1694
2014-09-01,-0.1689
2014-09-02,-0.1692
2014-09-03,-0.1314
2014-09-04,-0.1562
2014-09-05,-0.15
2014-09-06,-0.1547
2014-09-07,-0.177
2014-09-08,-0.1629
2014-09-09,-0.1513
2014-09-10,-0.152
2014-09-11,-0.1607
2014-09-12,-0.151
2014-09-13,-0.1562
2014-09-14,-0.1626
2014-09-15,-0.183
2014-09-16,-0.2018
2014-09-17,-0.278
2014-09-18,-0.376
2014-09-19,-0.3132
2014-09-20,-0.3448
2014-09-21,-0.3408
2014-09-22,-0.2228
2014-09-23,-0.2643
2014-09-24,-0.3065
2014-09-25,-0.3163
2014-09-26,-0.3302
2014-09-27,-0.4156
2014-09-28,-0.4177
2014-09-29,-0.3542
2014-09-30,-0.3747
2014-10-01,-0.41
2014-10-02,-0.4575
2014-10-03,-0.5765
2014-10-04,-0.587
2014-10-05,-0.5385
2014-10-06,-0.501
2014-10-07,-0.4109
2014-10-08,-0.3786
2014-10-09,-0.3858
2014-10-10,-0.373
2014-10-11,-0.3122
2014-10-12,-0.2673
2014-10-13,-0.2409
2014-10-14,-0.2533
2014-10-15,-0.2927
2014-10-16,-0.2902
2014-10-17,-0.2604
2014-10-18,-0.2685
2014-10-19,-0.2923
2014-10-20,-0.2782
2014-10-21,-0.291
2014-10-22,-0.3716
2014-10-23,-0.3659
2014-10-24,-0.4083
2014-10-25,-0.3774
2014-10-26,-0.3854
2014-10-27,-0.3642
2014-10-28,-0.4405
2014-10-29,-0.391
2014-10-30,-0.4154
2014-10-31,-0.4647
2014-11-01,-0.4616
2014-11-02,-0.4516
2014-11-03,-0.4249
2014-11-04,-0.3808
2014-11-05,-0.3309
2014-11-06,-0.3562
2014-11-07,-0.339
2014-11-08,-0.2707
2014-11-09,-0.2636
2014-11-10,-0.2508
2014-11-11,-0.0839
2014-11-12,-0.0885
2014-11-13,-0.1238
2014-11-14,-0.1819
2014-11-15,-0.1436
2014-11-16,-0.1493
2014-11-17,-0.1881
2014-11-18,-0.174
2014-11-19,-0.2387
2014-11-20,-0.253
2014-11-21,-0.2452
2014-11-22,-0.192
2014-11-23,-0.1626
2014-11-24,-0.161
2014-11-25,-0.1829
2014-11-26,-0.1745
2014-11-27,-0.1366
2014-11-28,-0.1408
2014-11-29,-0.1321
2014-11-30,-0.1283
2014-12-01,-0.111
2014-12-02,-0.1275
2014-12-03,-0.142
2014-12-04,-0.1101
2014-12-05,-0.118
2014-12-06,-0.1116
2014-12-07,-0.1449
2014-12-08,-0.178
2014-12-09,-0.1802
2014-12-10,-0.1742
2014-12-11,-0.1556
2014-12-12,-0.1664
2014-12-13,-0.1425
2014-12-14,-0.1693
2014-12-15,-0.2312
2014-12-16,-0.258
2014-12-17,-0.2785
