,ic,p_val,n_samples,mean_return,std_return
bull,-0.36764705882352944,0.14655429178401486,17.0,0.021979211027150086,0.09405812978250432
bear,-0.942857142857143,0.004804664723032055,6.0,0.030720156205046676,0.10423313344574518
