fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.6511627906976745,0.7887323943661971,0.6511627906976745,1.0,0.39436619718309857,0.0
1,1521,63,0.5348837209302325,0.696969696969697,0.5348837209302325,1.0,0.3484848484848485,0.0
2,1542,63,0.4418604651162791,0.4782608695652174,0.36666666666666664,0.6875,0.4391304347826087,-0.013752455795677632
3,1563,63,0.6744186046511628,0.7307692307692307,0.6333333333333333,0.8636363636363636,0.6595022624434389,0.3427947598253275
4,1584,63,0.7674418604651163,0.8571428571428571,0.75,1.0,0.6160714285714286,0.29508196721311475
5,1605,63,0.8372093023255814,0.9113924050632911,0.8372093023255814,1.0,0.45569620253164556,0.0
6,1626,63,0.6511627906976745,0.7887323943661971,0.6511627906976745,1.0,0.39436619718309857,0.0
7,1647,63,0.7674418604651163,0.868421052631579,0.7674418604651163,1.0,0.4342105263157895,0.0
8,1668,63,0.7906976744186046,0.8656716417910447,0.9354838709677419,0.8055555555555556,0.6959937156323645,0.40369799691833586
9,1689,63,0.5813953488372093,0.55,0.6111111111111112,0.5,0.5793478260869566,0.16594827586206895
10,1710,63,0.27906976744186046,0.11428571428571428,0.07407407407407407,0.25,0.25322128851540615,-0.2423112767940352
11,1731,63,0.3488372093023256,0.391304347826087,0.34615384615384615,0.45,0.3456521739130435,-0.28358208955223874
12,1752,63,0.5581395348837209,0.7164179104477612,0.5581395348837209,1.0,0.3582089552238806,0.0
13,1773,63,0.5348837209302325,0.4117647058823529,0.25925925925925924,1.0,0.5135746606334841,0.2066420664206643
14,1794,63,0.6511627906976745,0.11764705882352941,0.0625,1.0,0.4501278772378517,0.07725321888412007
15,1815,63,0.37209302325581395,0.5423728813559322,0.37209302325581395,1.0,0.2711864406779661,0.0
16,1836,63,0.3953488372093023,0.5185185185185185,0.7,0.4117647058823529,0.35300925925925924,-0.16216216216216206
17,1857,63,0.06976744186046512,0.0,0.0,0.0,0.06521739130434782,0.0
18,1878,63,0.8372093023255814,0.9113924050632911,0.9473684210526315,0.8780487804878049,0.45569620253164556,-0.0711743772241995
19,1899,63,0.9534883720930233,0.9761904761904762,0.9534883720930233,1.0,0.4880952380952381,0.0
20,1920,63,0.7906976744186046,0.8831168831168831,0.7906976744186046,1.0,0.44155844155844154,0.0
21,1941,63,0.6744186046511628,0.8055555555555556,0.6744186046511628,1.0,0.4027777777777778,0.0
22,1962,63,0.7441860465116279,0.8533333333333334,0.7441860465116279,1.0,0.4266666666666667,0.0
23,1983,63,0.8604651162790697,0.925,0.8604651162790697,1.0,0.4625,0.0
24,2004,63,0.627906976744186,0.7714285714285715,0.84375,0.7105263157894737,0.38571428571428573,-0.19031141868512114
25,2025,63,0.6511627906976745,0.7887323943661971,0.6511627906976745,1.0,0.39436619718309857,0.0
26,2046,63,0.4883720930232558,0.47619047619047616,0.37037037037037035,0.6666666666666666,0.4880952380952381,0.050200803212851364
27,2067,63,0.6046511627906976,0.7536231884057971,0.6046511627906976,1.0,0.37681159420289856,0.0
28,2088,63,0.6046511627906976,0.7536231884057971,0.6046511627906976,1.0,0.37681159420289856,0.0
29,2109,63,0.23255813953488372,0.37735849056603776,0.23255813953488372,1.0,0.18867924528301888,0.0
30,2130,63,0.5581395348837209,0.7164179104477612,0.5581395348837209,1.0,0.3582089552238806,0.0
31,2151,63,0.6046511627906976,0.7536231884057971,0.6046511627906976,1.0,0.37681159420289856,0.0
32,2172,63,0.4883720930232558,0.65625,0.4883720930232558,1.0,0.328125,0.0
33,2193,63,0.813953488372093,0.8974358974358975,0.813953488372093,1.0,0.44871794871794873,0.0
34,2214,63,0.5116279069767442,0.676923076923077,0.7096774193548387,0.6470588235294118,0.3384615384615385,-0.3144104803493448
35,2235,63,0.813953488372093,0.8974358974358975,0.813953488372093,1.0,0.44871794871794873,0.0
36,2256,63,0.9534883720930233,0.9761904761904762,0.9534883720930233,1.0,0.4880952380952381,0.0
37,2277,63,0.8604651162790697,0.925,0.8604651162790697,1.0,0.4625,0.0
38,2298,63,0.6744186046511628,0.8055555555555556,0.6744186046511628,1.0,0.4027777777777778,0.0
39,2319,63,0.3953488372093023,0.5666666666666667,0.4722222222222222,0.7083333333333334,0.2833333333333333,-0.312206572769953
40,2340,63,0.13953488372093023,0.24489795918367346,0.16666666666666666,0.46153846153846156,0.12244897959183673,-0.35866780529462017
41,2361,63,0.2558139534883721,0.15789473684210525,0.09375,0.5,0.24561403508771928,-0.1008
42,2382,63,0.27906976744186046,0.43636363636363634,0.27906976744186046,1.0,0.21818181818181817,0.0
43,2403,63,0.5813953488372093,0.7352941176470589,0.5813953488372093,1.0,0.36764705882352944,0.0
44,2424,63,0.9302325581395349,0.963855421686747,0.9302325581395349,1.0,0.4819277108433735,0.0
45,2445,63,0.7441860465116279,0.8533333333333334,0.7441860465116279,1.0,0.4266666666666667,0.0
46,2466,63,0.4186046511627907,0.5901639344262295,0.4186046511627907,1.0,0.29508196721311475,0.0
47,2487,63,0.627906976744186,0.7714285714285715,0.627906976744186,1.0,0.38571428571428573,0.0
48,2508,63,0.5116279069767442,0.676923076923077,0.5116279069767442,1.0,0.3384615384615385,0.0
49,2529,63,0.20930232558139536,0.34615384615384615,0.20930232558139536,1.0,0.17307692307692307,0.0
