train_end,kappa,accuracy,f1
1500,0.5411764705882353,0.7936507936507936,0.8433734939759037
1521,0.7149321266968325,0.8571428571428571,0.847457627118644
1542,0.7160741111667501,0.8571428571428571,0.8571428571428571
1563,0.3732828043581241,0.6666666666666666,0.6956521739130435
1584,-0.05405405405405417,0.5873015873015873,0.723404255319149
1605,0.0,0.5238095238095238,0.625
1626,0.014814814814814725,0.3968253968253968,0.42424242424242425
1647,0.21956428876548495,0.5396825396825397,0.5671641791044776
1668,0.4143426294820717,0.7777777777777778,0.851063829787234
1689,0.2214212152420184,0.6190476190476191,0.6756756756756757
1710,0.08446866485013615,0.49206349206349204,0.5428571428571428
1731,0.125,0.5238095238095238,0.5714285714285714
1752,-0.17616084250837716,0.38095238095238093,0.417910447761194
1773,-0.10915492957746475,0.5238095238095238,0.21052631578947367
1794,0.2597402597402597,0.6984126984126984,0.3870967741935484
1815,0.12658227848101267,0.6349206349206349,0.3783783783783784
1836,0.12326043737574555,0.5555555555555556,0.5333333333333333
1857,-0.11764705882352944,0.3968253968253968,0.5365853658536586
1878,0.024767801857585092,0.20634920634920634,0.24242424242424243
1899,0.015311004784688942,0.2222222222222222,0.3287671232876712
1920,0.025260498894853045,0.2222222222222222,0.14035087719298245
1941,0.09042553191489344,0.3968253968253968,0.3870967741935484
1962,0.1467268623024831,0.6190476190476191,0.7142857142857143
1983,-0.07468879668049788,0.4126984126984127,0.5316455696202531
2004,-0.32786885245901654,0.2857142857142857,0.4444444444444444
2025,-0.41450777202072553,0.38095238095238093,0.5517241379310345
2046,0.2765851223165251,0.6349206349206349,0.7160493827160493
2067,-0.09174311926605494,0.4603174603174603,0.5142857142857142
2088,0.10802307288935509,0.5714285714285714,0.4
2109,0.17322834645669294,0.6031746031746031,0.2857142857142857
2130,0.0912052117263844,0.5079365079365079,0.6265060240963856
2151,0.5161290322580645,0.7619047619047619,0.7058823529411765
2172,0.36849642004773264,0.6666666666666666,0.676923076923077
2193,0.1330275229357798,0.5238095238095238,0.5
2214,0.1369863013698629,0.42857142857142855,0.4
2235,0.016528925619834767,0.19047619047619047,0.10526315789473684
2256,0.08306709265175705,0.3492063492063492,0.3880597014925373
2277,0.10692588092345079,0.4444444444444444,0.5569620253164557
2298,0.3595505617977528,0.6984126984126984,0.7710843373493976
2319,0.39945528824330456,0.6666666666666666,0.6557377049180327
2340,0.21140472878998617,0.5714285714285714,0.5970149253731343
2361,0.14035087719298234,0.4444444444444444,0.5070422535211268
2382,0.08501594048884165,0.3492063492063492,0.36923076923076925
2403,0.5585585585585586,0.7777777777777778,0.8157894736842105
2424,0.11418832552194291,0.47619047619047616,0.49230769230769234
2445,-0.2653276955602537,0.3968253968253968,0.5476190476190477
2466,-0.23823704586063132,0.47619047619047616,0.6451612903225806
2487,0.0,0.5714285714285714,0.7272727272727273
2508,0.3076923076923077,0.6349206349206349,0.6933333333333334
2529,0.052631578947368474,0.5555555555555556,0.3333333333333333
2550,0.13786112519006588,0.5714285714285714,0.47058823529411764
2571,0.08988764044943809,0.5714285714285714,0.6582278481012658
2592,0.17840375586854462,0.6031746031746031,0.6666666666666666
2613,0.09419930589985137,0.5396825396825397,0.5084745762711864
2634,0.18840579710144933,0.49206349206349204,0.4482758620689655
2655,0.02597402597402587,0.20634920634920634,0.21875
