train_end,kappa,accuracy,f1
1500,0.0,0.9841269841269841,0.0
1521,0.0,0.9206349206349206,0.0
1542,0.0,0.9206349206349206,0.0
1563,0.0,0.9206349206349206,0.0
1668,0.0,0.9841269841269841,0.0
1689,0.0,0.9523809523809523,0.0
1710,0.0,0.9206349206349206,0.0
1731,0.0,0.9365079365079365,0.0
1752,0.0,0.9682539682539683,0.0
1773,0.0,0.9047619047619048,0.0
1794,0.0,0.8095238095238095,0.0
1815,0.0,0.7777777777777778,0.0
1836,0.0,0.873015873015873,0.0
1857,0.0,0.9682539682539683,0.0
1941,0.0,0.9523809523809523,0.0
1962,0.0,0.9523809523809523,0.0
1983,0.0,0.9523809523809523,0.0
2004,0.0,0.9841269841269841,0.0
2025,0.0,0.9841269841269841,0.0
2046,0.0,0.9206349206349206,0.0
2067,0.0,0.9365079365079365,0.0
2088,0.0,0.8888888888888888,0.0
2109,0.0,0.8412698412698413,0.0
2130,0.0,0.8412698412698413,0.0
2151,0.0,0.8253968253968254,0.0
2172,0.0,0.9206349206349206,0.0
2193,0.0,0.9206349206349206,0.0
2214,0.0,0.9841269841269841,0.0
2298,0.0,0.9841269841269841,0.0
2319,0.0,0.9523809523809523,0.0
2340,0.0,0.8888888888888888,0.0
2361,0.0,0.8095238095238095,0.0
2382,0.0,0.8412698412698413,0.0
2403,0.0,0.9047619047619048,0.0
2445,0.0,0.9841269841269841,0.0
2466,0.0,0.9682539682539683,0.0
2487,0.0,0.9682539682539683,0.0
2508,0.0,0.9841269841269841,0.0
2529,0.0,0.9523809523809523,0.0
2550,0.0,0.9523809523809523,0.0
2571,0.0,0.9523809523809523,0.0
2592,0.0,0.9365079365079365,0.0
2613,0.0,0.7936507936507936,0.0
2634,0.0,0.7142857142857143,0.0
2655,0.0,0.4444444444444444,0.0
